partid,parents_partid,qty
P0,null,1
P1,P0,1
P2,P0,1
P3,P1,1
P4,P1,1
P5,P3,1
P6,P3,1
P7,P3,1
P8,P3,1
P9,P4,1
P10,P4,1
P11,P4,1
P12,P4,1
P13,P5,1
P14,P5,1
P15,P5,1
P16,P5,1
P17,P5,1
P18,P6,1
P19,P6,1
P20,P8,1
P21,P8,1
P22,P8,1
P23,P10,1
P24,P10,1
P25,P11,1
P26,P11,1
P27,P11,1
P28,P12,1
P29,P12,1
P30,P12,1
P31,P13,1
P32,P13,1
P33,P13,1
P34,P13,1
P35,P13,1
P36,P14,1
P37,P14,1
P38,P14,1
P39,P16,1
P40,P16,1
P41,P16,1
P42,P17,1
P43,P17,1
P44,P17,1
P45,P17,1
P46,P18,1
P47,P18,1
P48,P19,1
P49,P19,1
P50,P19,1
P51,P19,1
P52,P22,1
P53,P22,1
P54,P23,1
P55,P23,1
P56,P23,1
P57,P23,1
P58,P24,1
P59,P24,1
P60,P25,1
P61,P25,1
P62,P26,1
P63,P26,1
P64,P28,1
P65,P28,1
P66,P28,1
P67,P29,1
P68,P29,1
P69,P29,1
P70,P31,1
P71,P31,1
P72,P32,1
P73,P32,1
P74,P32,1
P75,P32,1
P76,P33,1
P77,P33,1
P78,P33,1
P79,P33,1
P80,P35,1
P81,P35,1
P82,P35,1
P83,P35,1
P84,P36,1
P85,P36,1
P86,P36,1
P87,P36,1
P88,P37,1
P89,P37,1
P90,P37,1
P91,P37,1
P92,P38,1
P93,P38,1
P94,P38,1
P95,P38,1
P96,P40,1
P97,P40,1
P98,P40,1
P99,P40,1
P100,P40,1
P101,P41,1
P102,P41,1
P103,P42,1
P104,P42,1
P105,P42,1
P106,P43,1
P107,P43,1
P108,P43,1
P109,P45,1
P110,P45,1
P111,P46,1
P112,P46,1
P113,P46,1
P114,P47,1
P115,P47,1
P116,P48,1
P117,P48,1
P118,P48,1
P119,P48,1
P120,P48,1
P121,P49,1
P122,P49,1
P123,P50,1
P124,P50,1
P125,P51,1
P126,P51,1
P127,P51,1
P128,P51,1
P129,P51,1
P130,P52,1
P131,P52,1
P132,P53,1
P133,P53,1
P134,P54,1
P135,P54,1
P136,P54,1
P137,P56,1
P138,P56,1
P139,P56,1
P140,P57,1
P141,P57,1
P142,P57,1
P143,P57,1
P144,P57,1
P145,P58,1
P146,P58,1
P147,P58,1
P148,P60,1
P149,P60,1
P150,P60,1
P151,P60,1
P152,P61,1
P153,P61,1
P154,P62,1
P155,P62,1
P156,P62,1
P157,P62,1
P158,P62,1
P159,P63,1
P160,P63,1
P161,P65,1
P162,P65,1
P163,P65,1
P164,P65,1
P165,P66,1
P166,P66,1
P167,P67,1
P168,P67,1
P169,P67,1
P170,P67,1
P171,P68,1
P172,P68,1
P173,P68,1
P174,P69,1
P175,P69,1
P176,P70,1
P177,P70,1
P178,P70,1
P179,P70,1
P180,P71,1
P181,P71,1
P182,P71,1
P183,P71,1
P184,P71,1
P185,P72,1
P186,P72,1
P187,P72,1
P188,P72,1
P189,P73,1
P190,P73,1
P191,P73,1
P192,P74,1
P193,P74,1
P194,P74,1
P195,P74,1
P196,P74,1
P197,P75,1
P198,P75,1
P199,P75,1
P200,P75,1
P201,P77,1
P202,P77,1
P203,P77,1
P204,P77,1
P205,P77,1
P206,P80,1
P207,P80,1
P208,P80,1
P209,P80,1
P210,P81,1
P211,P81,1
P212,P81,1
P213,P81,1
P214,P81,1
P215,P82,1
P216,P82,1
P217,P82,1
P218,P82,1
P219,P82,1
P220,P83,1
P221,P83,1
P222,P83,4
P223,P84,1
P224,P84,1
P225,P86,1
P226,P86,1
P227,P87,1
P228,P87,1
P229,P87,1
P230,P89,1
P231,P89,1
P232,P91,1
P233,P91,1
P234,P93,1
P235,P93,1
P236,P93,1
P237,P96,1
P238,P96,1
P239,P98,1
P240,P98,1
P241,P98,1
P242,P98,1
P243,P98,1
P244,P99,1
P245,P99,1
P246,P99,1
P247,P99,1
P248,P99,1
P249,P100,1
P250,P100,1
P251,P103,1
P252,P103,1
P253,P103,1
P254,P104,1
P255,P104,1
P256,P104,1
P257,P104,1
P258,P104,1
P259,P105,1
P260,P105,1
P261,P105,1
P262,P105,1
P263,P105,1
P264,P106,1
P265,P106,1
P266,P109,1
P267,P109,1
P268,P109,1
P269,P111,1
P270,P111,1
P271,P111,4
P272,P111,1
P273,P112,1
P274,P112,1
P275,P112,1
P276,P112,1
P277,P113,1
P278,P113,1
P279,P114,1
P280,P114,2
P281,P114,1
P282,P114,2
P283,P117,1
P284,P117,1
P285,P118,1
P286,P118,1
P287,P118,1
P288,P118,1
P289,P119,1
P290,P119,1
P291,P119,1
P292,P119,1
P293,P120,1
P294,P120,1
P295,P120,1
P296,P120,1
P297,P121,1
P298,P121,1
P299,P121,1
P300,P121,1
P301,P122,1
P302,P122,1
P303,P122,1
P304,P122,1
P305,P122,1
P306,P123,1
P307,P123,1
P308,P123,1
P309,P123,1
P310,P123,1
P311,P125,1
P312,P125,1
P313,P125,1
P314,P126,1
P315,P126,1
