partid,cfp,co2
P7818,0.1205,0.1205
P6383,0.6335,0.6335
P4434,0.7693,0.7693
P20797,0.7773,0.7773
P8950,0.6706,0.6706
P2952,0.4998,0.4998
P7554,0.7039,0.7039
P11980,0.7412,0.7412
P5494,0.9107,0.9107
P13575,0.5612,0.5612
P10935,0.2716,0.2716
P439,0.79,0.79
P2257,0.3968,0.3968
P17833,0.279,0.279
P19486,0.2639,0.2639
P5979,0.2027,0.2027
P15326,0.8482,0.8482
P15118,0.288,0.288
P2843,0.4695,0.4695
P16156,0.3204,0.3204
P2408,0.3341,0.3341
P8275,0.197,0.197
P8915,0.9052,0.9052
P3571,0.8931,0.8931
P13140,0.4717,0.4717
P14814,0.6367,0.6367
P3792,0.7403,0.7403
P6077,0.7603,0.7603
P15368,0.4073,0.4073
P15290,0.38,0.38
P536,0.111,0.111
P14079,0.9516,0.9516
P2878,0.5446,0.5446
P7978,0.2508,0.2508
P21477,0.3406,0.3406
P15164,0.5944,0.5944
P22514,0.2864,0.2864
P12878,0.6251,0.6251
P14797,0.9548,0.9548
P2772,0.6245,0.6245
P11932,0.5971,0.5971
P15524,0.5355,0.5355
P137,0.6958,0.6958
P11698,0.6376,0.6376
P15064,0.4291,0.4291
P3882,0.8322,0.8322
P15111,0.4089,0.4089
P1598,0.8314,0.8314
P6252,0.2782,0.2782
P1965,0.102,0.102
P19263,0.8472,0.8472
P9086,0.8164,0.8164
P6539,0.5119,0.5119
P11631,0.2181,0.2181
P18236,0.4393,0.4393
P3548,0.7877,0.7877
P16063,0.6831,0.6831
P10727,0.1676,0.1676
P11704,0.1588,0.1588
P1193,0.1331,0.1331
P7303,0.715,0.715
P22706,0.2148,0.2148
P12291,0.9433,0.9433
P15100,0.8473,0.8473
P4542,0.9888,0.9888
P6902,0.9827,0.9827
P13235,0.7089,0.7089
P22722,0.5067,0.5067
P400,0.2355,0.2355
P8159,0.6644,0.6644
P2221,0.4647,0.4647
P17257,0.7393,0.7393
P22192,0.3219,0.3219
P325,0.6715,0.6715
P9040,0.1849,0.1849
P16106,0.5083,0.5083
P12079,0.7793,0.7793
P21036,0.9556,0.9556
P2929,0.6758,0.6758
P22125,0.5328,0.5328
P8358,0.4521,0.4521
P7127,0.2207,0.2207
P21620,0.5966,0.5966
P18429,0.5052,0.5052
P12187,0.823,0.823
P22055,0.6052,0.6052
P5546,0.9831,0.9831
P12158,0.1033,0.1033
P11121,0.5155,0.5155
P17196,0.7429,0.7429
P15650,0.8578,0.8578
P13744,0.668,0.668
P15248,0.7404,0.7404
P7766,0.4606,0.4606
P13021,0.3852,0.3852
P15501,0.6429,0.6429
P19129,0.4831,0.4831
P16916,0.8849,0.8849
P16341,0.5674,0.5674
P2202,0.4082,0.4082
P4951,0.3125,0.3125
P5500,0.7878,0.7878
P13390,0.463,0.463
P10670,0.9372,0.9372
P11744,0.1008,0.1008
P18241,0.5744,0.5744
P3593,0.9355,0.9355
P16161,0.7951,0.7951
P13832,0.1044,0.1044
P20115,0.6335,0.6335
P2419,0.9715,0.9715
P2781,0.9218,0.9218
P4830,0.9598,0.9598
P19719,0.4574,0.4574
P10728,0.3411,0.3411
P16205,0.8403,0.8403
P5155,0.8913,0.8913
P1355,0.7751,0.7751
P10405,0.6425,0.6425
P1955,0.2728,0.2728
P17433,0.5925,0.5925
P15862,0.9121,0.9121
P7342,0.5347,0.5347
P19979,0.7219,0.7219
P8873,0.4339,0.4339
P3876,0.1644,0.1644
P1196,0.6585,0.6585
P9549,0.4773,0.4773
P9688,0.2472,0.2472
P1545,0.1161,0.1161
P3091,0.5109,0.5109
P6965,0.5384,0.5384
P11655,0.2566,0.2566
P10267,0.8586,0.8586
P9187,0.229,0.229
P13437,0.1093,0.1093
P6906,0.1816,0.1816
P2073,0.9365,0.9365
P14512,0.7195,0.7195
P17446,0.8282,0.8282
P10472,0.7099,0.7099
P866,0.3162,0.3162
P22530,0.4957,0.4957
P17690,0.1141,0.1141
P18720,0.9982,0.9982
P6164,0.978,0.978
P10968,0.3103,0.3103
P22640,0.631,0.631
P10896,0.6272,0.6272
P9397,0.6498,0.6498
P10118,0.5774,0.5774
P3001,0.4619,0.4619
P19149,0.3994,0.3994
P3352,0.1977,0.1977
P17940,0.6189,0.6189
P18613,0.648,0.648
P16537,0.1868,0.1868
P17091,0.1851,0.1851
P7058,0.1,0.1
P14621,0.6653,0.6653
P3027,0.4259,0.4259
P15816,0.6187,0.6187
P17903,0.9042,0.9042
P12040,0.5123,0.5123
P4973,0.9046,0.9046
P6233,0.6192,0.6192
P9832,0.1612,0.1612
P9442,0.2426,0.2426
P14851,0.9575,0.9575
P1650,0.4327,0.4327
P10693,0.4312,0.4312
P18908,0.1955,0.1955
P21768,0.9278,0.9278
P5535,0.5119,0.5119
P11207,0.7387,0.7387
P3403,0.1561,0.1561
P3683,0.3701,0.3701
P8715,0.6451,0.6451
P13923,0.3958,0.3958
P9459,0.4076,0.4076
P9978,0.3079,0.3079
P11616,0.9962,0.9962
P6435,0.8513,0.8513
P14553,0.5855,0.5855
P10332,0.987,0.987
P3992,0.6702,0.6702
P18247,0.5961,0.5961
P16083,0.3337,0.3337
P22713,0.3319,0.3319
P9790,0.7895,0.7895
P19191,0.8796,0.8796
P21439,0.8539,0.8539
P8626,0.6422,0.6422
P4974,0.191,0.191
P7438,0.7614,0.7614
P7926,0.1792,0.1792
P911,0.5923,0.5923
P2306,0.8046,0.8046
P13992,0.4558,0.4558
P13900,0.6937,0.6937
P21368,0.1553,0.1553
P13203,0.5471,0.5471
P13732,0.2736,0.2736
P9926,0.2928,0.2928
P19289,0.8181,0.8181
P22692,0.7913,0.7913
P1725,0.2154,0.2154
P2577,0.2558,0.2558
P2936,0.3053,0.3053
P22004,0.2917,0.2917
P6546,0.1475,0.1475
P21498,0.3468,0.3468
P22805,0.3067,0.3067
P10638,0.7721,0.7721
P17859,0.5575,0.5575
P10342,0.3726,0.3726
P5886,0.4604,0.4604
P21470,0.4293,0.4293
P12304,0.3372,0.3372
P917,0.4801,0.4801
P5982,0.9365,0.9365
P879,0.9948,0.9948
P607,0.3184,0.3184
P7606,0.1548,0.1548
P4826,0.8576,0.8576
P21038,0.7698,0.7698
P14801,0.5814,0.5814
P9127,0.234,0.234
P4525,0.3222,0.3222
P8930,0.9595,0.9595
P5818,0.3939,0.3939
P18404,0.9609,0.9609
P21310,0.4101,0.4101
P14755,0.844,0.844
P14281,0.1851,0.1851
P2819,0.5387,0.5387
P5922,0.8805,0.8805
P14943,0.5417,0.5417
P12629,0.2533,0.2533
P10696,0.7334,0.7334
P14211,0.155,0.155
P19185,0.8995,0.8995
P2295,0.4271,0.4271
P16218,0.2719,0.2719
P22878,0.4965,0.4965
P4036,0.6093,0.6093
P12850,0.3703,0.3703
P6933,0.2251,0.2251
P3212,0.5406,0.5406
P6477,0.9529,0.9529
P3517,0.6346,0.6346
P7458,0.2114,0.2114
P9456,0.2783,0.2783
P15637,0.8614,0.8614
P17309,0.8645,0.8645
P7082,0.6762,0.6762
P9960,0.9492,0.9492
P18784,0.2298,0.2298
P18354,0.2968,0.2968
P5176,0.6658,0.6658
P22574,0.4094,0.4094
P2752,0.4737,0.4737
P19763,0.4277,0.4277
P10152,0.9555,0.9555
