partid,parents_partid,qty
P0,null,1
P1,P0,1
P2,P0,1
P3,P1,1
P4,P1,1
P5,P1,1
P6,P2,1
P7,P2,1
P8,P2,1
P9,P3,1
P10,P3,1
P11,P3,1
P12,P5,1
P13,P5,1
P14,P5,1
P15,P6,1
P16,P6,1
P17,P6,1
P18,P8,1
P19,P8,1
P20,P8,1
P21,P9,1
P22,P9,1
P23,P9,1
P24,P10,1
P25,P10,1
P26,P10,1
P27,P11,1
P28,P11,1
P29,P11,1
P30,P11,1
P31,P11,1
P32,P14,1
P33,P14,1
P34,P14,1
P35,P14,1
P36,P15,1
P37,P15,1
P38,P15,1
P39,P15,1
P40,P15,1
P41,P16,1
P42,P16,1
P43,P16,1
P44,P16,1
P45,P17,1
P46,P17,1
P47,P18,1
P48,P18,1
P49,P20,1
P50,P20,1
P51,P20,1
P52,P21,1
P53,P21,1
P54,P21,1
P55,P21,1
P56,P22,1
P57,P22,1
P58,P24,1
P59,P24,1
P60,P24,1
P61,P25,1
P62,P25,2
P63,P25,1
P64,P27,1
P65,P27,1
P66,P29,1
P67,P29,4
P68,P29,1
P69,P29,1
P70,P29,1
P71,P31,1
P72,P31,1
P73,P31,1
P74,P31,1
P75,P32,1
P76,P32,1
P77,P33,1
P78,P33,1
P79,P33,1
P80,P33,1
P81,P33,1
P82,P34,1
P83,P34,1
P84,P34,1
P85,P35,1
P86,P35,1
P87,P35,1
P88,P37,1
P89,P37,1
P90,P38,1
P91,P38,1
P92,P38,1
P93,P38,1
P94,P39,1
P95,P39,1
P96,P39,1
P97,P42,1
P98,P42,1
P99,P42,1
P100,P42,1
P101,P42,1
P102,P43,1
P103,P43,1
P104,P44,1
P105,P44,1
P106,P44,1
P107,P44,1
P108,P45,4
P109,P45,1
P110,P45,1
P111,P45,4
P112,P47,1
P113,P47,1
P114,P47,1
P115,P50,1
P116,P50,1
P117,P50,1
P118,P50,1
P119,P51,1
P120,P51,1
P121,P51,1
P122,P51,1
P123,P51,1
P124,P52,1
P125,P52,1
P126,P52,1
P127,P54,1
P128,P54,1
P129,P54,1
P130,P54,1
P131,P55,1
P132,P55,1
P133,P57,1
P134,P57,1
P135,P57,1
P136,P57,1
P137,P57,1
P138,P60,1
P139,P60,1
P140,P61,1
P141,P61,1
P142,P61,1
P143,P63,1
P144,P63,1
P145,P63,1
P146,P63,1
P147,P63,1
P148,P64,1
P149,P64,1
P150,P65,1
P151,P65,1
P152,P65,1
P153,P66,1
P154,P66,1
P155,P66,1
P156,P66,1
P157,P66,1
P158,P68,4
P159,P68,1
P160,P68,1
P161,P69,1
P162,P69,1
P163,P69,1
P164,P70,1
P165,P70,1
P166,P70,1
P167,P70,1
P168,P72,1
P169,P72,1
P170,P73,1
P171,P73,1
P172,P73,1
P173,P75,1
P174,P75,1
P175,P75,1
P176,P75,1
P177,P76,1
P178,P76,1
P179,P76,1
P180,P76,1
P181,P78,1
P182,P78,1
P183,P78,1
P184,P78,1
P185,P78,1
P186,P79,1
P187,P79,1
P188,P79,1
P189,P81,1
P190,P81,1
P191,P81,1
P192,P83,1
P193,P83,1
P194,P85,1
P195,P85,1
P196,P87,1
P197,P87,1
P198,P87,1
P199,P87,1
P200,P90,1
P201,P90,1
P202,P90,1
P203,P91,1
P204,P91,1
P205,P91,1
P206,P91,1
P207,P91,1
P208,P92,1
P209,P92,1
P210,P92,1
P211,P92,1
P212,P92,1
P213,P94,1
P214,P94,1
P215,P95,1
P216,P95,1
P217,P96,1
P218,P96,1
P219,P96,1
P220,P96,1
P221,P97,1
P222,P97,1
P223,P97,1
P224,P97,1
P225,P97,1
P226,P98,1
P227,P98,1
P228,P98,1
P229,P99,1
P230,P99,1
P231,P99,1
P232,P99,1
P233,P99,1
P234,P100,1
P235,P100,1
P236,P100,1
P237,P100,1
P238,P100,1
P239,P103,1
P240,P103,1
P241,P103,1
P242,P104,1
P243,P104,1
P244,P108,1
P245,P108,1
P246,P108,2
P247,P108,1
P248,P112,1
P249,P112,1
P250,P112,1
P251,P112,1
P252,P113,1
P253,P113,1
P254,P113,1
P255,P113,1
P256,P114,1
P257,P114,1
P258,P114,1
P259,P115,1
P260,P115,1
P261,P115,1
P262,P117,1
P263,P117,1
P264,P117,1
P265,P117,1
P266,P117,1
P267,P119,1
P268,P119,1
P269,P120,1
P270,P120,1
P271,P120,1
P272,P122,1
P273,P122,1
P274,P123,2
P275,P123,1
P276,P125,1
P277,P125,1
P278,P125,1
P279,P125,1
P280,P128,1
P281,P128,1
P282,P128,1
P283,P128,1
P284,P128,1
P285,P129,1
P286,P129,1
P287,P129,1
P288,P130,1
P289,P130,1
P290,P131,1
P291,P131,1
P292,P131,1
P293,P132,1
P294,P132,1
P295,P133,1
P296,P133,1
P297,P133,1
P298,P133,1
P299,P134,1
P300,P134,1
P301,P134,1
P302,P134,1
P303,P136,1
P304,P136,1
P305,P136,1
P306,P137,1
P307,P137,1
P308,P137,1
P309,P137,1
P310,P139,1
P311,P139,1
P312,P139,2
P313,P140,1
P314,P140,1
P315,P140,1
