partid,parents_partid,qty
P0,null,1
P1,P0,1
P2,P0,1
P3,P0,1
P4,P0,1
P5,P1,1
P6,P1,1
P7,P1,1
P8,P2,1
P9,P2,1
P10,P2,1
P11,P2,1
P12,P2,1
P13,P3,1
P14,P3,1
P15,P4,1
P16,P4,1
P17,P7,1
P18,P7,1
P19,P8,1
P20,P8,1
P21,P8,1
P22,P10,1
P23,P10,1
P24,P10,1
P25,P10,1
P26,P10,1
P27,P11,1
P28,P11,1
P29,P11,1
P30,P11,1
P31,P11,1
P32,P12,1
P33,P12,1
P34,P16,1
P35,P16,1
P36,P19,1
P37,P19,1
P38,P19,1
P39,P19,1
P40,P20,1
P41,P20,1
P42,P20,1
P43,P21,1
P44,P21,1
P45,P22,1
P46,P22,1
P47,P23,1
P48,P23,1
P49,P23,1
P50,P23,4
P51,P24,1
P52,P24,1
P53,P24,1
P54,P24,1
P55,P26,1
P56,P26,1
P57,P26,1
P58,P27,2
P59,P27,2
P60,P27,1
P61,P27,1
P62,P28,1
P63,P28,1
P64,P28,1
P65,P28,1
P66,P28,1
P67,P29,1
P68,P29,1
P69,P29,4
P70,P29,1
P71,P31,1
P72,P31,1
P73,P31,1
P74,P32,1
P75,P32,1
P76,P32,1
P77,P32,1
P78,P32,1
P79,P33,1
P80,P33,1
P81,P35,1
P82,P35,1
P83,P36,1
P84,P36,2
P85,P36,1
P86,P36,1
P87,P36,1
P88,P38,2
P89,P38,1
P90,P38,1
P91,P40,1
P92,P40,1
P93,P40,1
P94,P40,2
P95,P40,1
P96,P41,1
P97,P41,1
P98,P41,1
P99,P41,1
P100,P41,1
P101,P42,1
P102,P42,1
P103,P42,1
P104,P42,4
P105,P45,1
P106,P45,1
P107,P47,1
P108,P47,4
P109,P48,1
P110,P48,1
P111,P48,1
P112,P48,1
P113,P49,1
P114,P49,1
P115,P49,4
P116,P50,1
P117,P50,1
P118,P50,1
P119,P50,1
P120,P50,1
P121,P51,1
P122,P51,1
P123,P51,1
P124,P52,1
P125,P52,2
P126,P52,1
P127,P52,1
P128,P52,1
P129,P53,1
P130,P53,1
P131,P53,1
P132,P53,1
P133,P55,1
P134,P55,1
P135,P55,1
P136,P55,1
P137,P60,1
P138,P60,1
P139,P60,1
P140,P60,1
P141,P60,1
P142,P61,1
P143,P61,4
P144,P61,1
P145,P61,2
P146,P63,1
P147,P63,2
P148,P63,1
P149,P63,1
P150,P63,1
P151,P64,1
P152,P64,1
P153,P64,1
P154,P65,1
P155,P65,1
P156,P65,1
P157,P66,1
P158,P66,2
P159,P69,1
P160,P69,1
P161,P69,1
P162,P70,1
P163,P70,1
P164,P70,1
P165,P70,1
P166,P70,1
P167,P71,1
P168,P71,1
P169,P71,1
P170,P71,1
P171,P73,1
P172,P73,1
P173,P73,1
P174,P74,1
P175,P74,1
P176,P75,1
P177,P75,1
P178,P75,2
P179,P76,1
P180,P76,1
P181,P77,1
P182,P77,2
P183,P78,1
P184,P78,1
P185,P78,1
P186,P78,1
P187,P79,1
P188,P79,1
P189,P79,1
P190,P79,1
P191,P79,1
P192,P80,4
P193,P80,1
P194,P80,1
P195,P80,1
P196,P81,1
P197,P81,1
P198,P81,1
P199,P81,1
P200,P82,1
P201,P82,1
P202,P82,1
P203,P83,1
P204,P83,1
P205,P83,1
P206,P83,1
P207,P84,1
P208,P84,1
P209,P86,1
P210,P86,2
P211,P86,1
P212,P86,1
P213,P86,1
P214,P87,1
P215,P87,1
P216,P87,1
