partid,cfp,co2
P68,0.7412,0.7412
P281,0.8239,0.8239
P295,0.654,0.654
P96,0.6724,0.6724
P275,0.5862,0.5862
P127,0.9703,0.9703
P19,0.4716,0.4716
P145,0.908,0.908
P273,0.6043,0.6043
P141,0.5508,0.5508
P7,0.2203,0.2203
P3,0.7174,0.7174
P114,0.6512,0.6512
P113,0.9606,0.9606
P143,0.4377,0.4377
P199,0.6815,0.6815
P38,0.4842,0.4842
P138,0.308,0.308
P26,0.506,0.506
P262,0.3364,0.3364
P265,0.4498,0.4498
P276,0.9504,0.9504
P147,0.1598,0.1598
P203,0.2952,0.2952
P99,0.3787,0.3787
P226,0.3076,0.3076
P256,0.4171,0.4171
P187,0.1179,0.1179
P120,0.2494,0.2494
P232,0.3183,0.3183
P286,0.9773,0.9773
P298,0.6823,0.6823
P122,0.6317,0.6317
P74,0.5547,0.5547
P250,0.1983,0.1983
P164,0.6754,0.6754
P242,0.8728,0.8728
P82,0.3133,0.3133
P18,0.5681,0.5681
P13,0.3225,0.3225
P123,0.7987,0.7987
P66,0.956,0.956
P29,0.7905,0.7905
P191,0.988,0.988
P190,0.7722,0.7722
P6,0.1628,0.1628
P288,0.9023,0.9023
P132,0.8974,0.8974
P47,0.8053,0.8053
P161,0.2118,0.2118
P254,0.2097,0.2097
P264,0.3447,0.3447
P45,0.6333,0.6333
P30,0.4794,0.4794
P86,0.1792,0.1792
P146,0.1101,0.1101
P213,0.5027,0.5027
P257,0.3636,0.3636
P216,0.6335,0.6335
P73,0.3959,0.3959
P134,0.547,0.547
P81,0.4451,0.4451
P247,0.9251,0.9251
P42,0.3243,0.3243
P109,0.2606,0.2606
P152,0.9663,0.9663
P209,0.7423,0.7423
P124,0.2449,0.2449
P168,0.7455,0.7455
P200,0.4527,0.4527
P238,0.1975,0.1975
P248,0.3259,0.3259
P64,0.7203,0.7203
P60,0.7095,0.7095
P80,0.7597,0.7597
P291,0.8699,0.8699
P89,0.4669,0.4669
P252,0.4902,0.4902
P101,0.9382,0.9382
P179,0.2045,0.2045
P177,0.4388,0.4388
P70,0.1692,0.1692
P220,0.7728,0.7728
P236,0.4585,0.4585
P49,0.9979,0.9979
P212,0.1556,0.1556
P198,0.8695,0.8695
P189,0.2401,0.2401
P108,0.354,0.354
P292,0.8516,0.8516
P35,0.5647,0.5647
P85,0.3629,0.3629
P72,0.2583,0.2583
P52,0.7222,0.7222
P71,0.1003,0.1003
P140,0.6292,0.6292
P23,0.6593,0.6593
P182,0.8954,0.8954
P150,0.7051,0.7051
P188,0.6634,0.6634
P16,0.6556,0.6556
P58,0.8283,0.8283
P84,0.2195,0.2195
P110,0.8944,0.8944
P193,0.1036,0.1036
P173,0.6073,0.6073
P148,0.2845,0.2845
P235,0.3495,0.3495
P244,0.5667,0.5667
P25,0.1364,0.1364
P102,0.697,0.697
P12,0.1396,0.1396
P118,0.6612,0.6612
P22,0.8199,0.8199
P299,0.2309,0.2309
P223,0.4097,0.4097
P282,0.7477,0.7477
P294,0.2631,0.2631
P43,0.2086,0.2086
P243,0.9156,0.9156
P176,0.6292,0.6292
P258,0.2274,0.2274
P48,0.3119,0.3119
P11,0.6923,0.6923
P267,0.7966,0.7966
P165,0.2684,0.2684
P233,0.3216,0.3216
P185,0.1559,0.1559
P24,0.8384,0.8384
P103,0.7339,0.7339
P175,0.6579,0.6579
P111,0.5644,0.5644
P100,0.5399,0.5399
P194,0.6545,0.6545
P270,0.5035,0.5035
P97,0.694,0.694
P271,0.766,0.766
P219,0.2194,0.2194
P33,0.4513,0.4513
P67,0.6858,0.6858
P263,0.9411,0.9411
P222,0.8064,0.8064
P69,0.3389,0.3389
P75,0.1129,0.1129
P156,0.4628,0.4628
P162,0.5372,0.5372
P246,0.1851,0.1851
P5,0.6118,0.6118
P10,0.81,0.81
P210,0.8828,0.8828
P59,0.7227,0.7227
P106,0.5248,0.5248
P51,0.1584,0.1584
P202,0.4558,0.4558
P180,0.8473,0.8473
P169,0.281,0.281
P261,0.7585,0.7585
P137,0.5822,0.5822
P53,0.4297,0.4297
P115,0.3107,0.3107
P79,0.2019,0.2019
P83,0.8451,0.8451
P259,0.751,0.751
P297,0.6754,0.6754
P62,0.4675,0.4675
P229,0.179,0.179
