partid,assembler
P22110,postgresC
P20361,postgresC
P1992,postgresB
P7813,postgresC
P17616,postgresC
P13048,postgresB
P5817,postgresC
P6378,postgresB
P13249,postgresB
P17376,postgresC
P19914,postgresC
P7396,postgresB
P2215,postgresC
P4898,postgresC
P4127,postgresB
P7999,postgresB
P23320,postgresC
P5038,postgresB
P2718,postgresB
P2009,postgresB
P23349,postgresC
P5964,postgresB
P20171,postgresC
P9449,postgresB
P20530,postgresC
P1404,postgresC
P15793,postgresB
P20534,postgresC
P5459,postgresB
P14220,postgresC
P22823,postgresB
P14837,postgresB
P6940,postgresB
P4087,postgresB
P15215,postgresC
P24261,postgresC
P10634,postgresB
P17749,postgresC
P7303,postgresC
P13932,postgresC
P10103,postgresB
P11082,postgresC
P24242,postgresC
P12750,postgresC
P3741,postgresB
P8518,postgresB
P13934,postgresC
P3354,postgresB
P14921,postgresC
P14410,postgresC
P16609,postgresB
P637,postgresC
P22981,postgresC
P8123,postgresB
P8053,postgresB
P2413,postgresC
P2492,postgresC
P152,postgresB
P11322,postgresB
P1299,postgresB
P23289,postgresB
P20228,postgresC
P3410,postgresB
P17549,postgresC
P15739,postgresC
P17002,postgresC
P644,postgresB
P18570,postgresC
P17358,postgresB
P18686,postgresC
P24006,postgresC
P14755,postgresC
P22221,postgresB
P21051,postgresB
P15171,postgresC
P19271,postgresB
P1412,postgresC
P20023,postgresB
P20533,postgresC
P14463,postgresB
P16998,postgresB
P12423,postgresB
P6748,postgresC
P3206,postgresB
P7406,postgresC
P10783,postgresC
P14504,postgresC
P19205,postgresC
P21453,postgresB
P2251,postgresC
P6981,postgresC
P24142,postgresB
P22351,postgresC
P23586,postgresC
P330,postgresB
P22754,postgresC
P12284,postgresC
P17077,postgresC
P22744,postgresC
P17586,postgresC
P2361,postgresC
P11207,postgresB
P22264,postgresC
P6088,postgresC
P9528,postgresC
P6682,postgresC
P15714,postgresC
P716,postgresB
P22041,postgresC
P8040,postgresC
P4418,postgresB
P7127,postgresB
P22494,postgresB
P1350,postgresB
P7784,postgresB
P17379,postgresC
P21150,postgresC
P8947,postgresB
P18411,postgresB
P14369,postgresC
P6207,postgresC
P12536,postgresC
P19608,postgresB
P4739,postgresC
P23014,postgresC
P805,postgresB
P13433,postgresC
P11520,postgresB
P13842,postgresB
P19491,postgresC
P22941,postgresC
P5241,postgresC
P14250,postgresC
P9053,postgresB
P3521,postgresB
P18771,postgresC
P20409,postgresC
P9118,postgresB
P12449,postgresB
P16906,postgresC
P12811,postgresC
P18115,postgresC
P9162,postgresB
P22390,postgresC
P5372,postgresB
P3823,postgresB
P461,postgresB
P21157,postgresC
P3491,postgresC
P18360,postgresC
P20065,postgresC
P13581,postgresB
P9644,postgresC
P9082,postgresC
P888,postgresC
P6491,postgresB
P16047,postgresC
P22248,postgresB
P5308,postgresC
P16294,postgresB
P5286,postgresB
P14859,postgresC
P4089,postgresB
P22814,postgresC
P3500,postgresC
P1363,postgresB
P18221,postgresC
P15372,postgresB
P11425,postgresC
P19404,postgresB
P1444,postgresC
P5269,postgresB
P17593,postgresC
P21716,postgresB
P6934,postgresB
P7503,postgresB
P13736,postgresB
P16535,postgresC
P17169,postgresC
P13995,postgresB
P9832,postgresC
P9232,postgresB
P306,postgresB
P189,postgresC
P3525,postgresB
P10489,postgresC
P14100,postgresB
P23807,postgresB
P7953,postgresC
P8992,postgresC
P5682,postgresC
P1031,postgresC
P12832,postgresC
P7061,postgresB
P3220,postgresC
P6411,postgresC
P20204,postgresB
P12644,postgresB
P12988,postgresC
P3105,postgresB
P382,postgresC
P4707,postgresB
P10826,postgresB
P13790,postgresB
P16254,postgresB
P528,postgresC
P17232,postgresC
P23104,postgresB
P22781,postgresB
P15281,postgresB
P10126,postgresC
P23433,postgresC
P19573,postgresB
P19332,postgresB
P17926,postgresB
P11870,postgresB
P2785,postgresB
P15560,postgresC
P13882,postgresC
P18312,postgresB
P6598,postgresC
P387,postgresC
P18305,postgresB
P19423,postgresC
P17350,postgresC
P4725,postgresB
P5496,postgresB
P18983,postgresB
P1716,postgresC
P5463,postgresC
P9825,postgresB
P17666,postgresC
P1608,postgresB
P21436,postgresB
P14403,postgresB
P11236,postgresC
P13286,postgresC
P3944,postgresB
P9878,postgresB
P16071,postgresB
P16478,postgresC
P15839,postgresC
P4481,postgresC
P6459,postgresB
P9716,postgresC
P6888,postgresC
P3764,postgresC
P16952,postgresB
P9404,postgresB
P4263,postgresC
P2312,postgresC
P2857,postgresB
P5107,postgresC
P4180,postgresB
P1628,postgresB
P22261,postgresC
P959,postgresC
P18657,postgresC
P21580,postgresB
P566,postgresB
P284,postgresC
P15646,postgresB
P18433,postgresC
P20557,postgresB
P15242,postgresC
P5772,postgresC
P2395,postgresB
P18783,postgresC
P11668,postgresB
P21346,postgresB
P19134,postgresC
P19773,postgresB
P10439,postgresC
P12677,postgresC
P1366,postgresB
P4631,postgresB
P18292,postgresC
P15497,postgresB
P5735,postgresB
P14577,postgresC
P16465,postgresB
P19066,postgresC
P10594,postgresC
P21995,postgresC
P12130,postgresB
P8494,postgresB
P11018,postgresB
P13229,postgresC
P4619,postgresC
P18993,postgresB
P17837,postgresC
P11000,postgresB
P134,postgresB
P21727,postgresC
P695,postgresB
P3061,postgresC
P16420,postgresC
P13333,postgresC
P10043,postgresB
P7309,postgresC
P13358,postgresB
P22988,postgresB
P7862,postgresB
P15699,postgresB
P15929,postgresC
P17543,postgresC
P845,postgresC
P9688,postgresB
P11418,postgresB
P13172,postgresB
P11519,postgresC
P4262,postgresB
P5280,postgresB
P16185,postgresC
P10227,postgresC
P15500,postgresC
P22103,postgresB
P13361,postgresC
P21518,postgresB
P21789,postgresB
P9778,postgresB
P8023,postgresC
P6312,postgresC
P13637,postgresC
P21949,postgresC
P18961,postgresC
P21302,postgresB
P21095,postgresC
P7247,postgresC
P13032,postgresB
P12210,postgresC
P6998,postgresC
P9907,postgresB
P20105,postgresC
P2915,postgresB
P5792,postgresC
P21172,postgresB
P20083,postgresC
P15660,postgresC
P2907,postgresB
P12651,postgresC
P14287,postgresB
P12962,postgresB
P7925,postgresC
P13098,postgresB
P23043,postgresC
P11199,postgresC
P3729,postgresB
P18989,postgresB
P13080,postgresC
P4795,postgresB
P22208,postgresC
P12382,postgresC
P19797,postgresB
P449,postgresB
P23888,postgresB
P22970,postgresB
P3712,postgresB
P8499,postgresC
P18728,postgresB
P13003,postgresC
P23485,postgresB
P19940,postgresC
P12636,postgresB
P4954,postgresC
P14232,postgresB
P10144,postgresC
P12290,postgresB
P20214,postgresC
P2868,postgresB
P4456,postgresB
P18308,postgresB
P9620,postgresC
P12097,postgresC
P3938,postgresC
P1378,postgresC
P3690,postgresB
P20275,postgresB
P10296,postgresB
P12741,postgresC
P9672,postgresC
P10702,postgresB
P17098,postgresC
P12538,postgresB
P21983,postgresC
P5216,postgresC
P23219,postgresC
P15468,postgresC
P1686,postgresB
P16346,postgresB
P38,postgresB
P6492,postgresB
P10362,postgresC
P647,postgresB
P19587,postgresC
P12261,postgresC
P6840,postgresC
P3375,postgresB
P19792,postgresC
P20868,postgresB
P22642,postgresB
P8593,postgresC
P2278,postgresC
P13922,postgresB
P21950,postgresC
P600,postgresC
P22770,postgresC
P24253,postgresB
P14891,postgresB
P5811,postgresC
P4289,postgresB
P9260,postgresC
P23389,postgresB
P14573,postgresB
P1643,postgresB
P9568,postgresB
P13891,postgresB
P19139,postgresB
P3,postgresC
P12887,postgresB
P7288,postgresC
P20314,postgresB
P23514,postgresB
P1133,postgresB
P21722,postgresB
P21238,postgresB
P19264,postgresC
P15617,postgresB
P11964,postgresB
P17798,postgresB
P23128,postgresB
P14848,postgresB
P17212,postgresC
P22416,postgresB
P19187,postgresB
P2001,postgresC
P22245,postgresC
P14604,postgresC
P21272,postgresB
P21669,postgresB
P6269,postgresC
P1519,postgresB
P7042,postgresB
P10247,postgresB
P14314,postgresB
P21590,postgresC
P19080,postgresC
P14236,postgresC
P1281,postgresB
P11551,postgresC
P18218,postgresC
P22043,postgresC
P2759,postgresC
P9453,postgresC
P8816,postgresB
P10438,postgresC
P436,postgresB
P19366,postgresC
P13239,postgresB
P13227,postgresB
P16495,postgresB
P22142,postgresB
P854,postgresB
P10167,postgresC
P18837,postgresC
P11457,postgresC
P24018,postgresC
P17881,postgresB
P23524,postgresC
P18484,postgresC
P20661,postgresB
P9705,postgresC
P18307,postgresC
P24483,postgresB
P1535,postgresB
P22171,postgresB
P9678,postgresC
P6297,postgresB
P1542,postgresB
P164,postgresC
P3384,postgresC
P14074,postgresB
P21062,postgresB
P17634,postgresB
P23241,postgresB
P12737,postgresC
P6615,postgresC
P21914,postgresB
P21547,postgresB
P581,postgresC
P1207,postgresC
P13755,postgresC
P276,postgresC
P20346,postgresB
P3394,postgresB
P17435,postgresB
P7323,postgresC
P20738,postgresC
P12107,postgresC
P23140,postgresC
P23034,postgresB
P20907,postgresB
P24262,postgresC
P21254,postgresC
P16920,postgresC
P17776,postgresC
P3447,postgresC
P21836,postgresB
P12657,postgresC
P22611,postgresC
P2189,postgresB
P20388,postgresC
P4254,postgresC
P20631,postgresC
P15157,postgresC
P3641,postgresB
P8095,postgresC
P7178,postgresB
P17251,postgresB
P6096,postgresB
P23091,postgresC
P961,postgresB
P11221,postgresC
P6377,postgresB
P20209,postgresC
P14138,postgresB
P13145,postgresB
P7976,postgresB
P16655,postgresC
P12005,postgresC
P10440,postgresB
P4271,postgresC
P16468,postgresB
P22089,postgresB
P8995,postgresB
P2741,postgresB
P14067,postgresB
P16339,postgresB
P23506,postgresC
P5905,postgresC
P12207,postgresB
P18973,postgresC
P3663,postgresB
P10399,postgresB
P242,postgresC
P24085,postgresC
P15418,postgresC
P7278,postgresB
P5376,postgresC
P13480,postgresB
P20680,postgresB
P14094,postgresB
P314,postgresB
P782,postgresC
P12224,postgresB
P9197,postgresC
P9164,postgresC
P10404,postgresB
P1896,postgresC
P4694,postgresC
P2831,postgresC
P12590,postgresB
P17567,postgresB
P5474,postgresB
P3888,postgresB
P15910,postgresB
P10633,postgresC
P18506,postgresC
P17171,postgresC
P6611,postgresB
P1126,postgresC
P20110,postgresB
P18746,postgresB
P9350,postgresB
P10650,postgresB
P250,postgresB
P13582,postgresC
P1919,postgresB
P6794,postgresB
P20090,postgresB
P17213,postgresB
P18007,postgresC
P7526,postgresC
P18043,postgresC
P8642,postgresB
P3252,postgresB
P12906,postgresB
P2322,postgresB
P2596,postgresC
P2883,postgresC
P8398,postgresC
P11374,postgresB
