partid,cfp,co2
P22110,0.7547,0.7547
P20361,0.1143,0.1143
P7813,0.7274,0.7274
P17616,0.266,0.266
P5817,0.8485,0.8485
P17376,0.2991,0.2991
P19914,0.547,0.547
P2215,0.2968,0.2968
P4898,0.282,0.282
P23320,0.8975,0.8975
P23349,0.2239,0.2239
P20171,0.4838,0.4838
P20530,0.5381,0.5381
P1404,0.2638,0.2638
P20534,0.7894,0.7894
P14220,0.7618,0.7618
P15215,0.4131,0.4131
P24261,0.5052,0.5052
P17749,0.7981,0.7981
P7303,0.961,0.961
P13932,0.624,0.624
P11082,0.943,0.943
P24242,0.1424,0.1424
P12750,0.1888,0.1888
P13934,0.9083,0.9083
P14921,0.3438,0.3438
P14410,0.5425,0.5425
P637,0.7775,0.7775
P22981,0.314,0.314
P2413,0.3571,0.3571
P2492,0.72,0.72
P20228,0.8235,0.8235
P17549,0.3827,0.3827
P15739,0.6886,0.6886
P17002,0.861,0.861
P18570,0.8175,0.8175
P18686,0.1982,0.1982
P24006,0.2979,0.2979
P14755,0.788,0.788
P15171,0.9456,0.9456
P1412,0.2794,0.2794
P20533,0.4597,0.4597
P6748,0.827,0.827
P7406,0.4993,0.4993
P10783,0.9098,0.9098
P14504,0.4704,0.4704
P19205,0.4485,0.4485
P2251,0.6021,0.6021
P6981,0.3199,0.3199
P22351,0.3012,0.3012
P23586,0.4047,0.4047
P22754,0.3623,0.3623
P12284,0.2292,0.2292
P17077,0.4148,0.4148
P22744,0.4655,0.4655
P17586,0.71,0.71
P2361,0.4984,0.4984
P22264,0.5288,0.5288
P6088,0.7315,0.7315
P9528,0.295,0.295
P6682,0.7926,0.7926
P15714,0.2578,0.2578
P22041,0.891,0.891
P8040,0.2999,0.2999
P17379,0.9505,0.9505
P21150,0.8741,0.8741
P14369,0.8385,0.8385
P6207,0.1058,0.1058
P12536,0.7163,0.7163
P4739,0.6674,0.6674
P23014,0.5377,0.5377
P13433,0.778,0.778
P19491,0.3309,0.3309
P22941,0.5277,0.5277
P5241,0.4189,0.4189
P14250,0.9207,0.9207
P18771,0.427,0.427
P20409,0.6104,0.6104
P16906,0.2912,0.2912
P12811,0.9814,0.9814
P18115,0.4734,0.4734
P22390,0.94,0.94
P21157,0.4657,0.4657
P3491,0.2495,0.2495
P18360,0.4824,0.4824
P20065,0.3812,0.3812
P9644,0.8031,0.8031
P9082,0.6399,0.6399
P888,0.4695,0.4695
P16047,0.9033,0.9033
P5308,0.6706,0.6706
P14859,0.9053,0.9053
P22814,0.2174,0.2174
P3500,0.8917,0.8917
P18221,0.778,0.778
P11425,0.7658,0.7658
P1444,0.9943,0.9943
P17593,0.7156,0.7156
P16535,0.2573,0.2573
P17169,0.5341,0.5341
P9832,0.9984,0.9984
P189,0.1656,0.1656
P10489,0.4692,0.4692
P7953,0.2539,0.2539
P8992,0.1961,0.1961
P5682,0.747,0.747
P1031,0.4811,0.4811
P12832,0.6311,0.6311
P3220,0.7535,0.7535
P6411,0.2115,0.2115
P12988,0.3485,0.3485
P382,0.2087,0.2087
P528,0.8276,0.8276
P17232,0.9553,0.9553
P10126,0.7112,0.7112
P23433,0.9201,0.9201
P15560,0.472,0.472
P13882,0.331,0.331
P6598,0.5953,0.5953
P387,0.395,0.395
P19423,0.3318,0.3318
P17350,0.786,0.786
P1716,0.1782,0.1782
P5463,0.8642,0.8642
P17666,0.9933,0.9933
P11236,0.974,0.974
P13286,0.2446,0.2446
P16478,0.1886,0.1886
P15839,0.4729,0.4729
P4481,0.1539,0.1539
P9716,0.3701,0.3701
P6888,0.104,0.104
P3764,0.8168,0.8168
P4263,0.7624,0.7624
P2312,0.1476,0.1476
P5107,0.6361,0.6361
P22261,0.8418,0.8418
P959,0.9356,0.9356
P18657,0.5867,0.5867
