partid,cfp,co2
P1992,0.5986,0.5986
P13048,0.636,0.636
P6378,0.4936,0.4936
P13249,0.4048,0.4048
P7396,0.2286,0.2286
P4127,0.9059,0.9059
P7999,0.4859,0.4859
P5038,0.8188,0.8188
P2718,0.7337,0.7337
P2009,0.9824,0.9824
P5964,0.2173,0.2173
P9449,0.3937,0.3937
P15793,0.7994,0.7994
P5459,0.2539,0.2539
P22823,0.7459,0.7459
P14837,0.9007,0.9007
P6940,0.584,0.584
P4087,0.5703,0.5703
P10634,0.9016,0.9016
P10103,0.4629,0.4629
P3741,0.6046,0.6046
P8518,0.1877,0.1877
P3354,0.3361,0.3361
P16609,0.1517,0.1517
P8123,0.6467,0.6467
P8053,0.5163,0.5163
P152,0.559,0.559
P11322,0.6872,0.6872
P1299,0.3264,0.3264
P23289,0.9626,0.9626
P3410,0.414,0.414
P644,0.2312,0.2312
P17358,0.428,0.428
P22221,0.8655,0.8655
P21051,0.8638,0.8638
P19271,0.3409,0.3409
P20023,0.2489,0.2489
P14463,0.9626,0.9626
P16998,0.9896,0.9896
P12423,0.6161,0.6161
P3206,0.259,0.259
P21453,0.6826,0.6826
P24142,0.3937,0.3937
P330,0.6649,0.6649
P11207,0.1873,0.1873
P716,0.1022,0.1022
P4418,0.3602,0.3602
P7127,0.9035,0.9035
P22494,0.7857,0.7857
P1350,0.2866,0.2866
P7784,0.2268,0.2268
P8947,0.4837,0.4837
P18411,0.5554,0.5554
P19608,0.1585,0.1585
P805,0.8214,0.8214
P11520,0.8804,0.8804
P13842,0.1421,0.1421
P9053,0.251,0.251
P3521,0.4459,0.4459
P9118,0.241,0.241
P12449,0.2461,0.2461
P9162,0.6708,0.6708
P5372,0.4814,0.4814
P3823,0.9077,0.9077
P461,0.897,0.897
P13581,0.178,0.178
P6491,0.2949,0.2949
P22248,0.5516,0.5516
P16294,0.8722,0.8722
P5286,0.794,0.794
P4089,0.1656,0.1656
P1363,0.8754,0.8754
P15372,0.6544,0.6544
P19404,0.835,0.835
P5269,0.4274,0.4274
P21716,0.8773,0.8773
P6934,0.5063,0.5063
P7503,0.9472,0.9472
P13736,0.6661,0.6661
P13995,0.6523,0.6523
P9232,0.8098,0.8098
P306,0.8852,0.8852
P3525,0.9712,0.9712
P14100,0.6262,0.6262
P23807,0.2112,0.2112
P7061,0.2057,0.2057
P20204,0.9319,0.9319
P12644,0.5502,0.5502
P3105,0.9372,0.9372
P4707,0.2344,0.2344
P10826,0.1888,0.1888
P13790,0.3798,0.3798
P16254,0.859,0.859
P23104,0.1091,0.1091
P22781,0.9006,0.9006
P15281,0.4928,0.4928
P19573,0.7841,0.7841
P19332,0.5893,0.5893
P17926,0.2612,0.2612
P11870,0.5319,0.5319
P2785,0.3351,0.3351
P18312,0.322,0.322
P18305,0.4126,0.4126
P4725,0.3891,0.3891
P5496,0.6914,0.6914
P18983,0.259,0.259
P9825,0.3611,0.3611
P1608,0.7905,0.7905
P21436,0.37,0.37
P14403,0.606,0.606
P3944,0.8434,0.8434
P9878,0.3799,0.3799
P16071,0.5598,0.5598
P6459,0.7259,0.7259
P16952,0.5153,0.5153
P9404,0.151,0.151
P2857,0.2644,0.2644
P4180,0.4245,0.4245
P1628,0.4419,0.4419
P21580,0.9591,0.9591
P566,0.5853,0.5853
P15646,0.6419,0.6419
P20557,0.5601,0.5601
P2395,0.3647,0.3647
P11668,0.8709,0.8709
P21346,0.395,0.395
P19773,0.1264,0.1264
P1366,0.9994,0.9994
P4631,0.3729,0.3729
P15497,0.7272,0.7272
P5735,0.2314,0.2314
P16465,0.865,0.865
P12130,0.9878,0.9878
P8494,0.1647,0.1647
P11018,0.3836,0.3836
P18993,0.9139,0.9139
P11000,0.7303,0.7303
P134,0.3619,0.3619
P695,0.615,0.615
P10043,0.8534,0.8534
P13358,0.2272,0.2272
P22988,0.7645,0.7645
P7862,0.9119,0.9119
P15699,0.9329,0.9329
P9688,0.9947,0.9947
P11418,0.9817,0.9817
P13172,0.1388,0.1388
P4262,0.23,0.23
P5280,0.6395,0.6395
P22103,0.2602,0.2602
P21518,0.9263,0.9263
P21789,0.3752,0.3752
P9778,0.8423,0.8423
P21302,0.2696,0.2696
P13032,0.5446,0.5446
P9907,0.7475,0.7475
P2915,0.5285,0.5285
P21172,0.5515,0.5515
P2907,0.1575,0.1575
P14287,0.7932,0.7932
P12962,0.9542,0.9542
P13098,0.9548,0.9548
P3729,0.1891,0.1891
P18989,0.3027,0.3027
P4795,0.2336,0.2336
P19797,0.1885,0.1885
P449,0.3435,0.3435
P23888,0.8981,0.8981
P22970,0.6113,0.6113
P3712,0.6292,0.6292
P18728,0.6065,0.6065
P23485,0.6427,0.6427
P12636,0.5795,0.5795
P14232,0.4358,0.4358
P12290,0.4233,0.4233
P2868,0.4627,0.4627
P4456,0.4837,0.4837
P18308,0.1943,0.1943
P3690,0.4956,0.4956
P20275,0.8613,0.8613
P10296,0.3805,0.3805
P10702,0.6869,0.6869
P12538,0.5523,0.5523
P1686,0.9568,0.9568
P16346,0.564,0.564
P38,0.4073,0.4073
P6492,0.8079,0.8079
P647,0.4336,0.4336
P3375,0.9925,0.9925
P20868,0.1993,0.1993
P22642,0.3416,0.3416
P13922,0.2528,0.2528
P24253,0.3016,0.3016
P14891,0.6604,0.6604
P4289,0.4161,0.4161
P23389,0.6659,0.6659
P14573,0.466,0.466
P1643,0.9488,0.9488
P9568,0.7885,0.7885
P13891,0.3662,0.3662
P19139,0.4002,0.4002
P12887,0.3382,0.3382
P20314,0.1256,0.1256
P23514,0.9916,0.9916
P1133,0.4691,0.4691
P21722,0.7311,0.7311
P21238,0.9109,0.9109
P15617,0.7708,0.7708
P11964,0.3668,0.3668
P17798,0.8849,0.8849
P23128,0.9069,0.9069
P14848,0.8853,0.8853
P22416,0.1711,0.1711
P19187,0.797,0.797
P21272,0.898,0.898
P21669,0.75,0.75
P1519,0.4069,0.4069
P7042,0.6036,0.6036
P10247,0.5165,0.5165
P14314,0.5395,0.5395
