partid,cfp,co2
P13348,0.4091,0.4091
P7515,0.8345,0.8345
P19136,0.7656,0.7656
P18766,0.5554,0.5554
P6262,0.9773,0.9773
P16005,0.1044,0.1044
P9754,0.573,0.573
P17212,0.956,0.956
P16580,0.1591,0.1591
P18945,0.2657,0.2657
P15679,0.1156,0.1156
P17075,0.4342,0.4342
P3082,0.7716,0.7716
P2870,0.3155,0.3155
P439,0.421,0.421
P19423,0.4353,0.4353
P8367,0.8636,0.8636
P3515,0.3875,0.3875
P16863,0.7589,0.7589
P8636,0.1641,0.1641
P19369,0.8018,0.8018
P20391,0.3176,0.3176
P16103,0.8596,0.8596
P11455,0.4474,0.4474
P8882,0.4188,0.4188
P408,0.1693,0.1693
P9735,0.2104,0.2104
P22445,0.2455,0.2455
P20006,0.7038,0.7038
P8312,0.269,0.269
P12591,0.9563,0.9563
P5181,0.525,0.525
P388,0.501,0.501
P4213,0.8796,0.8796
P13893,0.9928,0.9928
P22101,0.2866,0.2866
P10518,0.3949,0.3949
P2514,0.3412,0.3412
P9477,0.2976,0.2976
P933,0.1325,0.1325
P5470,0.2769,0.2769
P12992,0.8521,0.8521
P8049,0.5399,0.5399
P4328,0.6738,0.6738
P9357,0.1646,0.1646
P15179,0.1175,0.1175
P8714,0.8722,0.8722
P3279,0.1817,0.1817
P13329,0.6863,0.6863
P21246,0.1233,0.1233
P22676,0.8658,0.8658
P17656,0.8215,0.8215
P6047,0.6626,0.6626
P16576,0.8118,0.8118
P14809,0.5251,0.5251
P13842,0.2421,0.2421
P12109,0.8644,0.8644
P5238,0.6456,0.6456
P3194,0.4394,0.4394
P3383,0.8459,0.8459
P5512,0.7853,0.7853
P21258,0.9899,0.9899
P3860,0.3895,0.3895
P16008,0.9648,0.9648
P12644,0.7602,0.7602
P21872,0.2936,0.2936
P10875,0.6186,0.6186
P20665,0.1676,0.1676
P7578,0.5293,0.5293
P6456,0.7264,0.7264
P21036,0.9935,0.9935
P13039,0.1393,0.1393
P21871,0.7177,0.7177
P10102,0.9502,0.9502
P2825,0.3812,0.3812
P21980,0.3256,0.3256
P11606,0.2573,0.2573
P380,0.783,0.783
P7861,0.3799,0.3799
P4307,0.174,0.174
P20811,0.4299,0.4299
P7892,0.3691,0.3691
P6727,0.3336,0.3336
P255,0.3638,0.3638
P20034,0.4526,0.4526
P16792,0.2403,0.2403
P5667,0.2079,0.2079
P21069,0.7888,0.7888
P8475,0.7208,0.7208
P11817,0.7882,0.7882
P13474,0.2409,0.2409
P16328,0.8352,0.8352
P2212,0.763,0.763
P21073,0.4816,0.4816
P21540,0.1433,0.1433
P707,0.1456,0.1456
P17902,0.9165,0.9165
P1387,0.8176,0.8176
P2466,0.6902,0.6902
P7812,0.1538,0.1538
P5203,0.5827,0.5827
P17324,0.6322,0.6322
P12976,0.7654,0.7654
P4027,0.3931,0.3931
P15693,0.3769,0.3769
P3844,0.2579,0.2579
P3126,0.7034,0.7034
P20431,0.1285,0.1285
P9495,0.3678,0.3678
P22369,0.4901,0.4901
P11113,0.1531,0.1531
P4866,0.8883,0.8883
P8838,0.8488,0.8488
P10497,0.2952,0.2952
P22079,0.2318,0.2318
P20681,0.5429,0.5429
P16919,0.6995,0.6995
P6826,0.3328,0.3328
P1106,0.9803,0.9803
P1213,0.5949,0.5949
P21492,0.8846,0.8846
P1671,0.6978,0.6978
P21934,0.9676,0.9676
P3410,0.98,0.98
P4772,0.316,0.316
P19139,0.4609,0.4609
P15852,0.32,0.32
P14737,0.4481,0.4481
P7056,0.9697,0.9697
P21330,0.452,0.452
P18992,0.6586,0.6586
P17186,0.7543,0.7543
P4284,0.5874,0.5874
P15017,0.8597,0.8597
P10451,0.1696,0.1696
P11998,0.9775,0.9775
P7511,0.4824,0.4824
P6919,0.7975,0.7975
P4925,0.9632,0.9632
P11672,0.5259,0.5259
P7012,0.3562,0.3562
P11102,0.7768,0.7768
P18509,0.5722,0.5722
P12864,0.701,0.701
P9078,0.5347,0.5347
P7800,0.6017,0.6017
P1188,0.2369,0.2369
P16530,0.9148,0.9148
P14452,0.3887,0.3887
P17182,0.7854,0.7854
P13701,0.4946,0.4946
P13443,0.7116,0.7116
P18147,0.1617,0.1617
P18305,0.4615,0.4615
P1209,0.6248,0.6248
P7679,0.8705,0.8705
P13002,0.9578,0.9578
P19187,0.7289,0.7289
P22752,0.9512,0.9512
P12569,0.2948,0.2948
P13017,0.423,0.423
P18243,0.4642,0.4642
P7155,0.8043,0.8043
P22793,0.9867,0.9867
P1782,0.1964,0.1964
P17078,0.1245,0.1245
P2983,0.2335,0.2335
P16939,0.6659,0.6659
P22335,0.938,0.938
P11871,0.9408,0.9408
P17007,0.837,0.837
P6772,0.5221,0.5221
P351,0.1397,0.1397
P9212,0.9486,0.9486
P14707,0.1865,0.1865
P17818,0.2592,0.2592
P12400,0.214,0.214
P2518,0.8005,0.8005
P6800,0.4593,0.4593
P17743,0.9551,0.9551
P10141,0.6114,0.6114
P12143,0.9221,0.9221
P8804,0.4696,0.4696
P19220,0.3745,0.3745
P14441,0.8073,0.8073
P21694,0.511,0.511
P15375,0.4022,0.4022
P9429,0.5731,0.5731
P15661,0.8439,0.8439
P16749,0.91,0.91
P1901,0.4634,0.4634
P20800,0.943,0.943
P4695,0.5174,0.5174
P11848,0.213,0.213
P7173,0.343,0.343
P8360,0.7249,0.7249
P17524,0.3866,0.3866
P21807,0.2926,0.2926
P850,0.9538,0.9538
P12112,0.1021,0.1021
P11719,0.4613,0.4613
P13848,0.7403,0.7403
P3162,0.2822,0.2822
P9282,0.5744,0.5744
P12926,0.5909,0.5909
P9713,0.1813,0.1813
P7749,0.8676,0.8676
P19830,0.9886,0.9886
P3745,0.4615,0.4615
P4580,0.318,0.318
P16658,0.9362,0.9362
P8837,0.4982,0.4982
P1619,0.97,0.97
P2128,0.6728,0.6728
P12785,0.8483,0.8483
P2750,0.551,0.551
P22765,0.9838,0.9838
P2399,0.8605,0.8605
P19528,0.2495,0.2495
P13891,0.4678,0.4678
P779,0.3957,0.3957
P10956,0.9469,0.9469
P2121,0.9595,0.9595
P18758,0.7006,0.7006
P14353,0.3297,0.3297
P20096,0.8169,0.8169
P13143,0.4479,0.4479
P13073,0.706,0.706
P21244,0.8005,0.8005
P5162,0.8661,0.8661
P5951,0.3025,0.3025
P18843,0.1943,0.1943
P992,0.5725,0.5725
P7313,0.2848,0.2848
P9215,0.4818,0.4818
P13951,0.786,0.786
P22526,0.8051,0.8051
P2155,0.5303,0.5303
P2892,0.779,0.779
P2416,0.3589,0.3589
P13354,0.2917,0.2917
P13205,0.9574,0.9574
P14941,0.7919,0.7919
P657,0.8187,0.8187
P5652,0.9164,0.9164
P6590,0.1058,0.1058
P4783,0.9269,0.9269
P3370,0.7212,0.7212
P4352,0.2842,0.2842
P8494,0.8252,0.8252
P13494,0.8982,0.8982
P21172,0.6528,0.6528
P3211,0.2143,0.2143
P4117,0.2323,0.2323
P7284,0.8492,0.8492
P3434,0.1525,0.1525
P8875,0.7309,0.7309
P7343,0.7191,0.7191
P18626,0.3047,0.3047
P76,0.5169,0.5169
P9561,0.3018,0.3018
P21874,0.455,0.455
P17869,0.9008,0.9008
P700,0.3293,0.3293
P5461,0.8279,0.8279
P8488,0.3,0.3
P16532,0.2064,0.2064
P19793,0.697,0.697
P11462,0.8377,0.8377
P7280,0.4759,0.4759
P14037,0.3949,0.3949
P2751,0.7061,0.7061
P398,0.4915,0.4915
P16300,0.9426,0.9426
P20601,0.4559,0.4559
P14363,0.6312,0.6312
P22315,0.4055,0.4055
P617,0.7697,0.7697
P1803,0.2952,0.2952
P10116,0.9738,0.9738
P9118,0.1987,0.1987
P625,0.4723,0.4723
P15164,0.9914,0.9914
P21648,0.2031,0.2031
P623,0.9094,0.9094
P8076,0.3719,0.3719
P6259,0.5218,0.5218
P22230,0.641,0.641
P12731,0.7344,0.7344
P18431,0.344,0.344
P3375,0.5192,0.5192
P4278,0.1483,0.1483
P3814,0.9992,0.9992
P13872,0.24,0.24
P12758,0.4276,0.4276
P21488,0.8867,0.8867
P18982,0.1386,0.1386
P16131,0.3573,0.3573
P18709,0.6853,0.6853
P3415,0.946,0.946
P5201,0.8858,0.8858
P597,0.3431,0.3431
P5,0.7934,0.7934
P11273,0.7989,0.7989
P21966,0.5556,0.5556
P13758,0.6256,0.6256
P18257,0.4456,0.4456
P12013,0.9969,0.9969
P18818,0.1088,0.1088
P2443,0.6624,0.6624
P13793,0.3492,0.3492
P6065,0.5029,0.5029
P15640,0.8084,0.8084
P12116,0.7307,0.7307
P4544,0.6821,0.6821
P6216,0.985,0.985
P6245,0.1845,0.1845
P9374,0.7073,0.7073
P19399,0.3277,0.3277
P18008,0.9143,0.9143
P9669,0.9634,0.9634
P14414,0.2982,0.2982
P19261,0.6344,0.6344
P11868,0.3727,0.3727
P7930,0.9451,0.9451
P10717,0.5427,0.5427
P7847,0.1526,0.1526
P2660,0.8416,0.8416
P920,0.862,0.862
P3269,0.53,0.53
P2854,0.1395,0.1395
P12613,0.1897,0.1897
P3357,0.5873,0.5873
P2379,0.8,0.8
P14424,0.2223,0.2223
P18454,0.6855,0.6855
P6268,0.5176,0.5176
P14740,0.1369,0.1369
P384,0.4232,0.4232
P14133,0.8885,0.8885
P3633,0.5002,0.5002
P7601,0.9247,0.9247
P15035,0.1506,0.1506
P6574,0.3207,0.3207
P11266,0.5677,0.5677
P19821,0.4149,0.4149
P4806,0.845,0.845
P19355,0.4243,0.4243
P3472,0.241,0.241
P14749,0.981,0.981
P15743,0.5343,0.5343
P17674,0.8372,0.8372
P18708,0.7573,0.7573
P14800,0.9817,0.9817
P2808,0.8099,0.8099
P9961,0.7744,0.7744
P9005,0.6191,0.6191
P21504,0.3432,0.3432
P3956,0.3192,0.3192
P20953,0.1278,0.1278
P13344,0.4871,0.4871
P11523,0.5933,0.5933
P4047,0.6162,0.6162
P22518,0.6078,0.6078
P6297,0.3753,0.3753
P17024,0.2583,0.2583
P1790,0.198,0.198
P3288,0.9915,0.9915
P5530,0.3479,0.3479
P7373,0.6539,0.6539
P2827,0.229,0.229
