partid,assembler
P9474,postgresB
P17825,postgresB
P11681,postgresB
P2254,postgresB
P13348,postgresC
P7515,postgresC
P19136,postgresC
P6552,postgresB
P18766,postgresC
P6262,postgresC
P16005,postgresC
P12720,postgresB
P4242,postgresB
P9754,postgresC
P7918,postgresB
P17212,postgresC
P17812,postgresB
P16580,postgresC
P13041,postgresB
P18945,postgresC
P15679,postgresC
P1783,postgresB
P17075,postgresC
P13182,postgresB
P3082,postgresC
P2870,postgresC
P12757,postgresB
P13046,postgresB
P7135,postgresB
P439,postgresC
P6982,postgresB
P948,postgresB
P19423,postgresC
P8367,postgresC
P18227,postgresB
P3515,postgresC
P17913,postgresB
P16863,postgresC
P8636,postgresC
P8927,postgresB
P14602,postgresB
P19369,postgresC
P20391,postgresC
P14072,postgresB
P17066,postgresB
P12364,postgresB
P16103,postgresC
P11455,postgresC
P8882,postgresC
P4600,postgresB
P408,postgresC
P5486,postgresB
P13501,postgresB
P22551,postgresB
P9735,postgresC
P1183,postgresB
P20453,postgresB
P22445,postgresC
P1542,postgresB
P20006,postgresC
P8312,postgresC
P13085,postgresB
P18575,postgresB
P12591,postgresC
P5181,postgresC
P388,postgresC
P4978,postgresB
P4213,postgresC
P2178,postgresB
P16586,postgresB
P13893,postgresC
P16657,postgresB
P21284,postgresB
P22101,postgresC
P17348,postgresB
P10518,postgresC
P22048,postgresB
P19010,postgresB
P6656,postgresB
P18754,postgresB
P2514,postgresC
P19320,postgresB
P14626,postgresB
P22329,postgresB
P20720,postgresB
P12522,postgresB
P11993,postgresB
P4126,postgresB
P9477,postgresC
P933,postgresC
P5470,postgresC
P12992,postgresC
P8049,postgresC
P4328,postgresC
P11010,postgresB
P12637,postgresB
P1718,postgresB
P9357,postgresC
P7636,postgresB
P15179,postgresC
P8714,postgresC
P7868,postgresB
P3279,postgresC
P13329,postgresC
P21246,postgresC
P22676,postgresC
P22178,postgresB
P17656,postgresC
P21513,postgresB
P6047,postgresC
P5021,postgresB
P11261,postgresB
P16576,postgresC
P15384,postgresB
P1451,postgresB
P14884,postgresB
P14809,postgresC
P13842,postgresC
P12109,postgresC
P5238,postgresC
P1967,postgresB
P20613,postgresB
P22744,postgresB
P21332,postgresB
P3679,postgresB
P3194,postgresC
P565,postgresB
P14075,postgresB
P724,postgresB
P3383,postgresC
P5512,postgresC
P18460,postgresB
P21258,postgresC
P3860,postgresC
P14934,postgresB
P16008,postgresC
P12644,postgresC
P203,postgresB
P21872,postgresC
P10875,postgresC
P20665,postgresC
P2632,postgresB
P7578,postgresC
P6456,postgresC
P21036,postgresC
P13039,postgresC
P8330,postgresB
P17313,postgresB
P21871,postgresC
P11352,postgresB
P10102,postgresC
P20535,postgresB
P22346,postgresB
P3816,postgresB
P21441,postgresB
P5490,postgresB
P2825,postgresC
P21980,postgresC
P11606,postgresC
P15201,postgresB
P380,postgresC
P7861,postgresC
P4307,postgresC
P4485,postgresB
P20811,postgresC
P19617,postgresB
P7892,postgresC
P4665,postgresB
P6118,postgresB
P6727,postgresC
P21729,postgresB
P255,postgresC
P8278,postgresB
P12692,postgresB
P945,postgresB
P2500,postgresB
P20034,postgresC
P16792,postgresC
P5667,postgresC
P21069,postgresC
P8475,postgresC
P967,postgresB
P11817,postgresC
P10594,postgresB
P13474,postgresC
P16328,postgresC
P19983,postgresB
P9481,postgresB
P4744,postgresB
P2212,postgresC
P12020,postgresB
P21073,postgresC
P21540,postgresC
P707,postgresC
P18197,postgresB
P17902,postgresC
P1387,postgresC
P2466,postgresC
P7812,postgresC
P17061,postgresB
P11160,postgresB
P1524,postgresB
P5203,postgresC
P17324,postgresC
P12976,postgresC
P13757,postgresB
P20346,postgresB
P4027,postgresC
P15693,postgresC
P3844,postgresC
P17371,postgresB
P2739,postgresB
P3126,postgresC
P22563,postgresB
P20431,postgresC
P9495,postgresC
P22369,postgresC
P19271,postgresB
P1984,postgresB
P8099,postgresB
P20392,postgresB
P11113,postgresC
P10673,postgresB
P14105,postgresB
P7979,postgresB
P4866,postgresC
P17414,postgresB
P9077,postgresB
P10804,postgresB
P8603,postgresB
P10234,postgresB
P8838,postgresC
P7572,postgresB
P10497,postgresC
P22079,postgresC
P20681,postgresC
P6029,postgresB
P4228,postgresB
P16919,postgresC
P19230,postgresB
P6826,postgresC
P19697,postgresB
P1106,postgresC
P4002,postgresB
P1213,postgresC
P8620,postgresB
P21492,postgresC
P1671,postgresC
P21934,postgresC
P17141,postgresB
P18704,postgresB
P3410,postgresC
P6067,postgresB
P4772,postgresC
P10581,postgresB
P11540,postgresB
P19139,postgresC
P3766,postgresB
P13963,postgresB
P11899,postgresB
P15852,postgresC
P14737,postgresC
P4608,postgresB
