partid,parents_partid,qty
P0,null,1
P1,P0,1
P2,P0,1
P3,P0,1
P4,P0,1
P5,P2,1
P6,P2,1
P7,P4,1
P8,P4,1
P9,P5,2
P10,P5,1
P11,P5,1
P12,P5,1
P13,P8,1
P14,P8,1
P15,P8,1
P16,P9,1
P17,P9,1
P18,P11,1
P19,P11,1
P20,P12,1
P21,P12,1
P22,P12,1
P23,P12,1
P24,P12,1
P25,P14,1
P26,P14,1
P27,P14,1
P28,P15,1
P29,P15,1
P30,P15,1
P31,P16,1
P32,P16,1
P33,P17,4
P34,P17,1
P35,P17,1
P36,P17,1
P37,P17,1
P38,P21,1
P39,P21,1
P40,P21,1
P41,P21,1
P42,P23,1
P43,P23,1
P44,P23,1
P45,P27,1
P46,P27,1
P47,P27,1
P48,P27,1
P49,P27,1
P50,P29,1
P51,P29,1
P52,P29,1
P53,P29,1
P54,P29,1
P55,P30,1
P56,P30,1
P57,P33,1
P58,P33,1
P59,P34,1
P60,P34,1
P61,P35,1
P62,P35,1
P63,P35,1
P64,P35,1
P65,P35,1
P66,P36,1
P67,P36,1
P68,P36,1
P69,P36,1
P70,P36,1
P71,P37,1
P72,P37,4
P73,P37,1
P74,P37,1
P75,P38,1
P76,P38,1
P77,P38,1
P78,P38,1
P79,P39,1
P80,P39,1
P81,P39,1
P82,P39,1
P83,P40,1
P84,P40,1
P85,P44,1
P86,P44,1
P87,P44,1
P88,P44,4
P89,P45,1
P90,P45,1
P91,P46,1
P92,P46,1
P93,P46,1
P94,P47,1
P95,P47,1
P96,P49,1
P97,P49,1
P98,P49,1
P99,P50,1
P100,P50,2
P101,P51,1
P102,P51,1
P103,P51,1
P104,P51,1
P105,P51,1
P106,P52,1
P107,P52,1
P108,P52,1
P109,P52,1
P110,P53,1
P111,P53,1
P112,P53,1
P113,P53,1
P114,P53,1
P115,P57,1
P116,P57,1
P117,P57,1
P118,P57,1
P119,P57,1
P120,P59,1
P121,P59,1
P122,P59,1
P123,P59,1
P124,P59,1
P125,P61,1
P126,P61,1
P127,P61,1
P128,P63,1
P129,P63,1
P130,P64,1
P131,P64,1
P132,P65,1
P133,P65,1
P134,P65,1
P135,P65,1
P136,P65,1
P137,P67,1
P138,P67,1
P139,P67,1
P140,P67,1
P141,P67,1
P142,P68,1
P143,P68,1
P144,P68,1
P145,P68,1
P146,P71,1
P147,P71,1
P148,P73,1
P149,P73,1
P150,P73,1
P151,P73,1
P152,P73,1
P153,P74,1
P154,P74,1
P155,P74,1
P156,P74,2
P157,P76,1
P158,P76,1
P159,P76,1
P160,P76,1
P161,P76,1
P162,P77,1
P163,P77,1
P164,P78,1
P165,P78,1
P166,P78,1
P167,P78,1
P168,P78,1
P169,P79,1
P170,P79,1
P171,P79,1
P172,P79,1
P173,P80,1
P174,P80,1
P175,P80,1
P176,P80,1
P177,P80,1
P178,P81,1
P179,P81,1
P180,P81,1
P181,P88,1
P182,P88,1
P183,P88,1
P184,P89,1
P185,P89,1
P186,P89,1
P187,P89,1
P188,P90,1
P189,P90,1
P190,P91,1
P191,P91,1
P192,P92,1
P193,P92,1
P194,P92,1
P195,P92,1
P196,P92,1
P197,P93,1
