partid,cfp,co2
P77,0.6962,0.6962
P172,0.3867,0.3867
P109,0.7566,0.7566
P11,0.4683,0.4683
P129,0.637,0.637
P36,0.2869,0.2869
P121,0.6051,0.6051
P203,0.7051,0.7051
P99,0.3573,0.3573
P188,0.9596,0.9596
P45,0.1547,0.1547
P119,0.4554,0.4554
P177,0.3576,0.3576
P35,0.1535,0.1535
P111,0.6389,0.6389
P178,0.2135,0.2135
P83,0.601,0.601
P132,0.5413,0.5413
P145,0.1188,0.1188
P104,0.4786,0.4786
P155,0.254,0.254
P130,0.7357,0.7357
P57,0.7846,0.7846
P103,0.7402,0.7402
P102,0.3208,0.3208
P152,0.3926,0.3926
P82,0.7286,0.7286
P58,0.2903,0.2903
P44,0.5812,0.5812
P86,0.7397,0.7397
P128,0.4504,0.4504
P168,0.7363,0.7363
P81,0.8601,0.8601
P211,0.1837,0.1837
P143,0.8029,0.8029
P190,0.2879,0.2879
P16,0.4623,0.4623
P218,0.179,0.179
P85,0.4534,0.4534
P157,0.3136,0.3136
P154,0.2281,0.2281
P107,0.3554,0.3554
P183,0.7081,0.7081
P43,0.4874,0.4874
P28,0.1388,0.1388
P105,0.8894,0.8894
P48,0.5162,0.5162
P117,0.6152,0.6152
P29,0.4756,0.4756
P76,0.616,0.616
P96,0.7016,0.7016
P106,0.6059,0.6059
P205,0.1907,0.1907
P216,0.5935,0.5935
P80,0.8853,0.8853
P92,0.4221,0.4221
P37,0.5318,0.5318
P8,0.1677,0.1677
P213,0.5401,0.5401
P63,0.8703,0.8703
P144,0.8543,0.8543
P25,0.3587,0.3587
P197,0.5348,0.5348
P66,0.1609,0.1609
P47,0.4365,0.4365
P182,0.8808,0.8808
P19,0.2259,0.2259
P167,0.8772,0.8772
P84,0.4227,0.4227
P93,0.7242,0.7242
P30,0.8392,0.8392
P135,0.4333,0.4333
P136,0.9779,0.9779
P187,0.1216,0.1216
P192,0.6274,0.6274
P127,0.7491,0.7491
P87,0.9564,0.9564
P46,0.4839,0.4839
P40,0.2042,0.2042
P3,0.7073,0.7073
P207,0.503,0.503
P180,0.6357,0.6357
P68,0.1093,0.1093
P72,0.5068,0.5068
P12,0.5195,0.5195
P110,0.786,0.786
P97,0.2924,0.2924
P26,0.359,0.359
P98,0.8279,0.8279
P5,0.9509,0.9509
P195,0.2221,0.2221
P2,0.7342,0.7342
P131,0.8883,0.8883
P33,0.468,0.468
P194,0.4889,0.4889
P1,0.9979,0.9979
P101,0.895,0.895
P53,0.1451,0.1451
P34,0.4265,0.4265
