partid,cfp,co2
P164,0.8694,0.8694
P71,0.5821,0.5821
P141,0.8056,0.8056
P147,0.1055,0.1055
P112,0.4777,0.4777
P94,0.3406,0.3406
P134,0.9768,0.9768
P208,0.5532,0.5532
P204,0.3366,0.3366
P220,0.8075,0.8075
P54,0.6826,0.6826
P212,0.7168,0.7168
P206,0.1625,0.1625
P75,0.8246,0.8246
P125,0.7099,0.7099
P173,0.4045,0.4045
P7,0.509,0.509
P186,0.6303,0.6303
P200,0.9618,0.9618
P52,0.5959,0.5959
P70,0.9921,0.9921
P150,0.1742,0.1742
P217,0.2562,0.2562
P65,0.5325,0.5325
P13,0.8385,0.8385
P4,0.1242,0.1242
P64,0.3049,0.3049
P146,0.7968,0.7968
P49,0.6553,0.6553
P156,0.3239,0.3239
P89,0.2302,0.2302
P202,0.9682,0.9682
P123,0.326,0.326
P17,0.1954,0.1954
P174,0.3618,0.3618
P113,0.2791,0.2791
P116,0.4305,0.4305
P199,0.7186,0.7186
P42,0.3497,0.3497
P175,0.8414,0.8414
P148,0.1478,0.1478
P67,0.2281,0.2281
P193,0.9998,0.9998
P118,0.3966,0.3966
P221,0.3456,0.3456
P201,0.4502,0.4502
P90,0.1061,0.1061
P165,0.197,0.197
P91,0.5551,0.5551
P50,0.6065,0.6065
P162,0.5643,0.5643
P185,0.6134,0.6134
P100,0.6771,0.6771
P88,0.2902,0.2902
P133,0.9226,0.9226
P41,0.4744,0.4744
P61,0.1861,0.1861
P78,0.6669,0.6669
P184,0.1477,0.1477
P138,0.5616,0.5616
P198,0.2072,0.2072
P95,0.1486,0.1486
P69,0.5075,0.5075
P9,0.5799,0.5799
P215,0.9555,0.9555
P126,0.1575,0.1575
P55,0.6729,0.6729
P31,0.8541,0.8541
P196,0.7941,0.7941
P51,0.5305,0.5305
P163,0.8432,0.8432
P181,0.8263,0.8263
P142,0.2644,0.2644
P60,0.1388,0.1388
P122,0.6802,0.6802
P22,0.6067,0.6067
P159,0.3031,0.3031
P27,0.7911,0.7911
P189,0.6955,0.6955
P79,0.2565,0.2565
P171,0.3896,0.3896
P219,0.2635,0.2635
P59,0.5678,0.5678
P39,0.558,0.558
P214,0.7377,0.7377
P139,0.4976,0.4976
P56,0.5234,0.5234
P21,0.6633,0.6633
P153,0.8777,0.8777
P161,0.491,0.491
P120,0.4572,0.4572
P108,0.8682,0.8682
P151,0.7176,0.7176
P14,0.7466,0.7466
P160,0.9452,0.9452
P74,0.7322,0.7322
P166,0.7551,0.7551
P38,0.1269,0.1269
P170,0.6475,0.6475
P6,0.5354,0.5354
P149,0.8345,0.8345
P210,0.4021,0.4021
P158,0.2873,0.2873
P73,0.1462,0.1462
P24,0.836,0.836
P169,0.787,0.787
P18,0.1098,0.1098
P15,0.154,0.154
P209,0.3741,0.3741
P179,0.6331,0.6331
P137,0.9844,0.9844
P114,0.3364,0.3364
P23,0.8366,0.8366
P191,0.6028,0.6028
P20,0.5304,0.5304
P10,0.197,0.197
P32,0.838,0.838
P62,0.8887,0.8887
P124,0.1606,0.1606
P140,0.4707,0.4707
P115,0.7485,0.7485
P176,0.7089,0.7089
