partid,parents_partid,qty
P0,null,1
P1,P0,1
P2,P0,1
P3,P0,1
P4,P0,1
P5,P1,1
P6,P1,1
P7,P1,1
P8,P1,1
P9,P4,1
P10,P4,1
P11,P4,1
P12,P4,1
P13,P7,1
P14,P7,1
P15,P7,1
P16,P8,1
P17,P8,1
P18,P8,1
P19,P9,1
P20,P9,1
P21,P9,1
P22,P10,1
P23,P10,1
P24,P11,1
P25,P11,1
P26,P11,1
P27,P11,1
P28,P12,1
P29,P12,1
P30,P12,1
P31,P12,1
P32,P12,1
P33,P13,1
P34,P13,1
P35,P13,1
P36,P13,1
P37,P14,1
P38,P14,1
P39,P14,1
P40,P14,1
P41,P14,1
P42,P16,1
P43,P16,1
P44,P16,1
P45,P16,1
P46,P16,1
P47,P17,1
P48,P17,1
P49,P17,1
P50,P17,1
P51,P18,1
P52,P18,1
P53,P19,1
P54,P19,1
P55,P19,1
P56,P19,1
P57,P20,1
P58,P20,1
P59,P22,1
P60,P22,1
P61,P22,1
P62,P22,1
P63,P22,1
P64,P26,1
P65,P26,1
P66,P28,1
P67,P28,1
P68,P29,1
P69,P29,1
P70,P29,1
P71,P29,1
P72,P31,1
P73,P31,1
P74,P34,1
P75,P34,1
P76,P34,1
P77,P34,1
P78,P35,1
P79,P35,1
P80,P35,1
P81,P35,1
P82,P36,1
P83,P36,1
P84,P36,1
P85,P37,1
P86,P37,1
P87,P37,1
P88,P37,1
P89,P37,1
P90,P39,1
P91,P39,1
P92,P39,1
P93,P40,1
P94,P40,1
P95,P41,1
P96,P41,1
P97,P42,1
P98,P42,1
P99,P43,1
P100,P43,1
P101,P43,1
P102,P44,1
P103,P44,1
P104,P44,1
P105,P44,1
P106,P46,1
P107,P46,1
P108,P46,1
P109,P46,1
P110,P46,1
P111,P47,1
P112,P47,1
P113,P47,1
P114,P47,1
P115,P47,1
P116,P48,1
P117,P48,1
P118,P48,1
P119,P48,1
P120,P48,1
P121,P49,1
P122,P49,1
P123,P50,1
P124,P50,1
P125,P50,1
P126,P50,1
P127,P50,1
P128,P53,1
P129,P53,1
P130,P54,1
P131,P54,1
P132,P54,1
P133,P57,1
P134,P57,1
P135,P57,1
P136,P57,1
P137,P57,1
P138,P58,1
P139,P58,1
P140,P61,1
P141,P61,1
P142,P62,1
P143,P62,1
P144,P62,1
P145,P62,1
P146,P65,1
P147,P65,1
P148,P65,1
P149,P66,1
P150,P66,1
P151,P67,1
P152,P67,1
P153,P67,1
P154,P67,1
P155,P67,1
P156,P69,1
P157,P69,1
P158,P71,1
P159,P71,1
P160,P71,1
P161,P72,1
P162,P72,1
P163,P73,1
P164,P73,1
P165,P74,1
P166,P74,1
P167,P74,1
P168,P76,1
P169,P76,1
P170,P77,1
P171,P77,1
P172,P77,1
P173,P79,1
P174,P79,1
P175,P79,1
P176,P79,1
P177,P79,1
P178,P80,1
P179,P80,1
P180,P80,1
P181,P82,1
P182,P82,1
P183,P82,1
P184,P82,1
P185,P84,1
P186,P84,1
P187,P84,1
P188,P84,1
P189,P85,1
P190,P85,1
P191,P85,1
P192,P86,1
P193,P86,1
P194,P86,1
P195,P86,1
P196,P86,1
P197,P87,1
P198,P87,1
P199,P87,1
P200,P87,1
P201,P89,1
P202,P89,1
P203,P89,1
P204,P89,1
P205,P90,1
P206,P90,1
P207,P91,1
P208,P91,1
P209,P91,1
P210,P92,1
P211,P92,1
P212,P92,1
P213,P93,1
P214,P93,1
P215,P93,1
P216,P93,1
P217,P94,1
P218,P94,1
P219,P95,1
P220,P95,1
P221,P95,1
P222,P95,1
P223,P96,1
P224,P96,1
P225,P96,1
P226,P97,1
P227,P97,1
P228,P100,1
P229,P100,1
P230,P100,1
P231,P101,1
P232,P101,1
P233,P104,1
P234,P104,1
P235,P104,1
P236,P104,1
P237,P105,1
P238,P105,1
P239,P106,1
P240,P106,1
P241,P106,1
P242,P107,1
P243,P107,1
P244,P108,1
P245,P108,1
P246,P108,1
P247,P108,1
P248,P108,1
P249,P114,1
P250,P114,1
P251,P114,1
P252,P114,1
P253,P115,1
P254,P115,1
P255,P115,1
P256,P116,1
P257,P116,1
P258,P116,1
P259,P116,1
P260,P119,1
P261,P119,1
P262,P119,1
P263,P119,1
P264,P120,1
P265,P120,1
P266,P120,1
P267,P121,1
P268,P121,1
P269,P121,1
P270,P121,1
P271,P122,1
P272,P122,1
P273,P122,1
P274,P122,1
P275,P122,1
P276,P123,1
P277,P123,1
P278,P124,1
P279,P124,1
P280,P124,1
P281,P126,1
P282,P126,1
P283,P126,1
P284,P126,1
P285,P126,1
P286,P127,1
P287,P127,1
P288,P127,1
P289,P128,1
P290,P128,1
P291,P128,1
P292,P128,1
P293,P128,1
P294,P130,1
P295,P130,1
P296,P133,1
P297,P133,1
P298,P134,1
P299,P134,1
P300,P134,1
P301,P134,1
P302,P135,1
P303,P135,1
P304,P135,1
P305,P135,1
P306,P135,1
P307,P137,1
P308,P137,1
P309,P137,1
P310,P137,1
P311,P138,1
P312,P138,1
P313,P138,1
P314,P138,1
P315,P142,1
