partid,cfp,co2
P76,0.8193,0.8193
P65,0.64,0.64
P153,0.6489,0.6489
P56,0.4252,0.4252
P180,0.438,0.438
P86,0.8111,0.8111
P188,0.3983,0.3983
P138,0.742,0.742
P155,0.9098,0.9098
P156,0.3091,0.3091
P183,0.6653,0.6653
P34,0.3538,0.3538
P145,0.9949,0.9949
P72,0.8537,0.8537
P129,0.9329,0.9329
P169,0.2788,0.2788
P14,0.9772,0.9772
P108,0.9905,0.9905
P42,0.6325,0.6325
P144,0.9652,0.9652
P173,0.4752,0.4752
P178,0.7839,0.7839
P192,0.9543,0.9543
P174,0.8448,0.8448
P62,0.979,0.979
P168,0.2184,0.2184
P146,0.5741,0.5741
P68,0.868,0.868
P11,0.3303,0.3303
P191,0.928,0.928
P200,0.8652,0.8652
P197,0.4284,0.4284
P205,0.3686,0.3686
P46,0.4043,0.4043
P120,0.4746,0.4746
P78,0.8399,0.8399
P26,0.5607,0.5607
P162,0.811,0.811
P82,0.1612,0.1612
P70,0.3088,0.3088
P5,0.3258,0.3258
P151,0.7862,0.7862
P74,0.6648,0.6648
P101,0.1069,0.1069
P118,0.6991,0.6991
P107,0.4173,0.4173
P201,0.2931,0.2931
P4,0.8929,0.8929
P111,0.6715,0.6715
P44,0.9654,0.9654
P170,0.8848,0.8848
P128,0.3109,0.3109
P16,0.5118,0.5118
P127,0.9982,0.9982
P112,0.5929,0.5929
P53,0.3793,0.3793
P163,0.345,0.345
P25,0.1164,0.1164
P92,0.5965,0.5965
P13,0.9687,0.9687
P132,0.3893,0.3893
P81,0.7884,0.7884
P199,0.7084,0.7084
P110,0.4321,0.4321
P36,0.3779,0.3779
P109,0.495,0.495
P88,0.6706,0.6706
P136,0.1969,0.1969
P41,0.1789,0.1789
P64,0.7676,0.7676
P94,0.2715,0.2715
P85,0.1872,0.1872
P204,0.6878,0.6878
P73,0.3756,0.3756
P93,0.1871,0.1871
P141,0.3094,0.3094
P100,0.8914,0.8914
P186,0.2403,0.2403
P126,0.9119,0.9119
P2,0.2613,0.2613
P51,0.9455,0.9455
P90,0.2664,0.2664
P97,0.7086,0.7086
P114,0.9892,0.9892
P149,0.7268,0.7268
P176,0.9022,0.9022
P198,0.2415,0.2415
P194,0.2029,0.2029
P135,0.1833,0.1833
P142,0.5126,0.5126
P193,0.4711,0.4711
P104,0.6641,0.6641
P52,0.4448,0.4448
P40,0.4083,0.4083
P159,0.6812,0.6812
P179,0.1166,0.1166
P209,0.9376,0.9376
P31,0.9095,0.9095
P185,0.8125,0.8125
P87,0.4212,0.4212
P10,0.5104,0.5104
P35,0.8228,0.8228
P83,0.331,0.331
