partid,assembler
P83,postgresC
P45,postgresB
P47,postgresB
P66,postgresC
P103,postgresB
P136,postgresC
P187,postgresC
P107,postgresC
P135,postgresC
P55,postgresB
P141,postgresB
P177,postgresC
P10,postgresB
P20,postgresC
P68,postgresB
P84,postgresC
P9,postgresB
P161,postgresC
P75,postgresC
P98,postgresC
P112,postgresB
P39,postgresB
P118,postgresC
P189,postgresB
P12,postgresC
P158,postgresB
P149,postgresC
P105,postgresC
P29,postgresC
P0,postgresA
P5,postgresB
P182,postgresC
P179,postgresC
P127,postgresC
P121,postgresC
P23,postgresC
P197,postgresB
P139,postgresB
P168,postgresB
P194,postgresB
P200,postgresC
P184,postgresB
P111,postgresC
P49,postgresC
P46,postgresB
P151,postgresB
P35,postgresC
P178,postgresC
P25,postgresC
P50,postgresB
P142,postgresC
P78,postgresB
P106,postgresC
P169,postgresC
P132,postgresC
P91,postgresB
P156,postgresC
P74,postgresB
P22,postgresB
P73,postgresC
P172,postgresB
P109,postgresB
P190,postgresB
P191,postgresC
P117,postgresB
P93,postgresB
P64,postgresC
P65,postgresB
P44,postgresB
P126,postgresC
P42,postgresB
P41,postgresB
P69,postgresB
P77,postgresC
P120,postgresB
P61,postgresC
P51,postgresC
P71,postgresB
P76,postgresB
P94,postgresB
P138,postgresC
P167,postgresC
P164,postgresC
P193,postgresC
P19,postgresB
P24,postgresB
P67,postgresC
P27,postgresC
P72,postgresB
P155,postgresB
P58,postgresC
P53,postgresB
P147,postgresC
P82,postgresB
P90,postgresB
P33,postgresC
P1,postgresB
P143,postgresB
P36,postgresC
P34,postgresB
P95,postgresC
P108,postgresB
P7,postgresB
P122,postgresB
P150,postgresC
P81,postgresC
P166,postgresC
P134,postgresC
P175,postgresC
P8,postgresB
P59,postgresB
P70,postgresB
P115,postgresC
P62,postgresC
P87,postgresC
P18,postgresC
P170,postgresB
P171,postgresB
P4,postgresC
P133,postgresC
P3,postgresB
P124,postgresB
P183,postgresC
P196,postgresB
P146,postgresB
P21,postgresC
P100,postgresB
P101,postgresC
P174,postgresB
P152,postgresC
P79,postgresB
P102,postgresC
P2,postgresC
P140,postgresB
P159,postgresB
P11,postgresB
P195,postgresC
P110,postgresC
P163,postgresB
P185,postgresC
P145,postgresC
P17,postgresB
P137,postgresC
P176,postgresC
P30,postgresB
P52,postgresB
P37,postgresC
P144,postgresB
P180,postgresB
P119,postgresC
P28,postgresC
P6,postgresC
P85,postgresC
P32,postgresC
P125,postgresB
P129,postgresB
P89,postgresC
P113,postgresC
P38,postgresB
P97,postgresC
P128,postgresB
P57,postgresC
P114,postgresC
P157,postgresB
P88,postgresB
P173,postgresB
P181,postgresC
P15,postgresC
P26,postgresC
P130,postgresB
P40,postgresC
P48,postgresB
P123,postgresC
P116,postgresB
P148,postgresB
P188,postgresB
P198,postgresC
P63,postgresB
P31,postgresC
P43,postgresC
P56,postgresC
P80,postgresC
P96,postgresC
P153,postgresB
P154,postgresC
P192,postgresB
P99,postgresB
P86,postgresB
P104,postgresB
P162,postgresC
P186,postgresC
P199,postgresB
P13,postgresC
P60,postgresC
P14,postgresC
P131,postgresC
P92,postgresC
P160,postgresB
P16,postgresC
P165,postgresC
P54,postgresB
