partid,assembler
P34,postgresC
P68,postgresB
P281,postgresC
P295,postgresB
P96,postgresC
P260,postgresB
P275,postgresC
P127,postgresC
P224,postgresB
P19,postgresB
P266,postgresB
P145,postgresB
P157,postgresC
P273,postgresB
P141,postgresB
P287,postgresB
P104,postgresB
P183,postgresB
P7,postgresB
P3,postgresC
P114,postgresB
P113,postgresB
P143,postgresC
P130,postgresC
P199,postgresB
P88,postgresB
P38,postgresB
P138,postgresC
P163,postgresB
P26,postgresC
P277,postgresC
P262,postgresC
P265,postgresB
P276,postgresC
P251,postgresC
P147,postgresC
P289,postgresB
P203,postgresB
P99,postgresC
P181,postgresC
P204,postgresB
P226,postgresB
P55,postgresC
P256,postgresB
P187,postgresC
P120,postgresC
P17,postgresC
P232,postgresB
P283,postgresC
P286,postgresB
P298,postgresB
P122,postgresB
P192,postgresC
P74,postgresC
P250,postgresC
P164,postgresB
P186,postgresB
P242,postgresB
P293,postgresB
P158,postgresB
P32,postgresB
P279,postgresB
P82,postgresB
P18,postgresC
P13,postgresB
P196,postgresB
P123,postgresB
P239,postgresB
P66,postgresC
P29,postgresC
P191,postgresC
P190,postgresB
P6,postgresB
P144,postgresB
P90,postgresB
P288,postgresB
P132,postgresB
P47,postgresC
P155,postgresB
P54,postgresC
P125,postgresC
P161,postgresC
P254,postgresC
P170,postgresC
P264,postgresB
P45,postgresC
P285,postgresB
P94,postgresB
P214,postgresC
P225,postgresB
P4,postgresB
P30,postgresB
P86,postgresC
P146,postgresB
P213,postgresC
P257,postgresC
P284,postgresB
P216,postgresC
P73,postgresB
P119,postgresC
P134,postgresC
P154,postgresC
P81,postgresB
P247,postgresC
P237,postgresB
P42,postgresC
P268,postgresB
P109,postgresC
P50,postgresC
P152,postgresC
P171,postgresC
P209,postgresC
P93,postgresC
P124,postgresB
P168,postgresB
P200,postgresC
P238,postgresB
P240,postgresB
P248,postgresC
P64,postgresB
P60,postgresC
P121,postgresC
P253,postgresC
P80,postgresC
P291,postgresC
P89,postgresB
P28,postgresC
P195,postgresC
P252,postgresC
P129,postgresB
P101,postgresC
P197,postgresC
P20,postgresB
P126,postgresB
P14,postgresB
P280,postgresC
P151,postgresC
P179,postgresC
P177,postgresB
P70,postgresC
P112,postgresB
P220,postgresC
P236,postgresB
P46,postgresC
P49,postgresB
P211,postgresB
P212,postgresC
P249,postgresC
P245,postgresB
P207,postgresC
P198,postgresC
P189,postgresB
P108,postgresB
P149,postgresC
P292,postgresB
P35,postgresC
P98,postgresC
P0,postgresA
P85,postgresB
P221,postgresC
P36,postgresB
P72,postgresC
P208,postgresC
P52,postgresB
P71,postgresC
P139,postgresC
P140,postgresB
P23,postgresC
P182,postgresC
P150,postgresB
P188,postgresC
P16,postgresC
P58,postgresB
P84,postgresC
P128,postgresC
P227,postgresC
P201,postgresC
P110,postgresC
P136,postgresC
P159,postgresC
P193,postgresC
P39,postgresC
P9,postgresB
P173,postgresB
P61,postgresC
P148,postgresC
P40,postgresB
P133,postgresC
P272,postgresC
P8,postgresC
P235,postgresB
P172,postgresB
P244,postgresB
P25,postgresB
P102,postgresB
P12,postgresC
P118,postgresB
P131,postgresB
P22,postgresC
P299,postgresC
P241,postgresC
P77,postgresB
P116,postgresC
P223,postgresB
P282,postgresC
P294,postgresC
P43,postgresB
P243,postgresB
P176,postgresB
P258,postgresB
P296,postgresB
P21,postgresC
P228,postgresC
P230,postgresC
P91,postgresC
P48,postgresB
P11,postgresB
P184,postgresB
P267,postgresC
P165,postgresB
P233,postgresB
P185,postgresC
P24,postgresC
P63,postgresB
P103,postgresC
P117,postgresB
P175,postgresC
P31,postgresB
P78,postgresB
P95,postgresC
P105,postgresB
P153,postgresC
P218,postgresC
P1,postgresB
P217,postgresC
P255,postgresC
P111,postgresB
P100,postgresC
P76,postgresC
P135,postgresB
P178,postgresB
P194,postgresC
P206,postgresB
P270,postgresB
P97,postgresC
P271,postgresB
P37,postgresB
P219,postgresB
P33,postgresB
P67,postgresC
P57,postgresC
P231,postgresB
P263,postgresB
P269,postgresB
P222,postgresC
P44,postgresB
P65,postgresB
P69,postgresC
P75,postgresC
P156,postgresB
P162,postgresC
P167,postgresB
P174,postgresC
P246,postgresB
P5,postgresC
P274,postgresC
P10,postgresB
P210,postgresC
P234,postgresB
P59,postgresC
P278,postgresC
P106,postgresB
P51,postgresB
P202,postgresC
P107,postgresC
P160,postgresB
P180,postgresB
P169,postgresC
P290,postgresC
P261,postgresC
P137,postgresB
P92,postgresC
P166,postgresB
P205,postgresC
P27,postgresB
P53,postgresB
P115,postgresB
P79,postgresB
P142,postgresB
P83,postgresC
P2,postgresB
P15,postgresB
P215,postgresC
P259,postgresC
P56,postgresB
P87,postgresB
P297,postgresC
P41,postgresB
P62,postgresB
P229,postgresB
