partid,parents_partid,qty
P0,null,1
P1,P0,1
P2,P0,1
P3,P0,1
P4,P1,1
P5,P1,1
P6,P3,1
P7,P3,1
P8,P3,1
P9,P3,1
P10,P6,1
P11,P6,1
P12,P6,1
P13,P7,1
P14,P7,1
P15,P8,1
P16,P8,1
P17,P8,1
P18,P8,1
P19,P8,1
P20,P9,1
P21,P9,1
P22,P9,1
P23,P9,1
P24,P9,2
P25,P12,1
P26,P12,1
P27,P12,1
P28,P13,1
P29,P13,1
P30,P13,1
P31,P13,1
P32,P13,1
P33,P14,1
P34,P14,1
P35,P14,1
P36,P15,1
P37,P15,1
P38,P15,1
P39,P17,1
P40,P17,1
P41,P17,1
P42,P17,1
P43,P19,1
P44,P19,1
P45,P19,1
P46,P19,1
P47,P20,1
P48,P20,1
P49,P20,1
P50,P20,1
P51,P20,1
P52,P21,1
P53,P21,1
P54,P24,1
P55,P24,1
P56,P24,1
P57,P24,1
P58,P25,1
P59,P25,1
P60,P27,1
P61,P27,1
P62,P28,1
P63,P28,1
P64,P29,1
P65,P29,1
P66,P29,1
P67,P30,1
P68,P30,1
P69,P30,1
P70,P30,1
P71,P30,1
P72,P31,1
P73,P31,1
P74,P31,1
P75,P32,1
P76,P32,1
P77,P33,1
P78,P33,1
P79,P33,1
P80,P34,1
P81,P34,1
P82,P35,1
P83,P35,1
P84,P35,1
P85,P35,1
P86,P36,1
P87,P36,1
P88,P36,1
P89,P38,1
P90,P38,1
P91,P38,1
P92,P38,1
P93,P41,1
P94,P41,1
P95,P42,1
P96,P42,1
P97,P42,1
P98,P42,1
P99,P43,1
P100,P43,1
P101,P44,1
P102,P44,1
P103,P44,1
P104,P44,1
P105,P46,1
P106,P46,1
P107,P46,1
P108,P46,1
P109,P48,1
P110,P48,1
P111,P51,1
P112,P51,1
P113,P52,1
P114,P52,1
P115,P52,1
P116,P52,1
P117,P53,1
P118,P53,1
P119,P54,1
P120,P54,1
P121,P54,1
P122,P54,1
P123,P55,1
P124,P55,4
P125,P55,1
P126,P56,1
P127,P56,1
P128,P58,1
P129,P58,1
P130,P58,1
P131,P58,1
P132,P58,1
P133,P59,1
P134,P59,1
P135,P59,1
P136,P59,1
P137,P59,1
P138,P60,1
P139,P60,1
P140,P60,1
P141,P60,1
P142,P61,1
P143,P61,1
P144,P63,1
P145,P63,4
P146,P63,1
P147,P63,1
P148,P64,1
P149,P64,1
P150,P64,1
P151,P64,1
P152,P66,1
P153,P66,1
P154,P66,1
P155,P66,1
P156,P67,1
P157,P67,1
P158,P67,1
P159,P69,1
P160,P69,1
P161,P69,1
P162,P69,1
P163,P69,1
P164,P70,1
P165,P70,1
P166,P70,1
P167,P71,1
P168,P71,1
P169,P71,1
P170,P71,1
P171,P71,1
P172,P72,1
P173,P72,1
P174,P73,1
P175,P73,1
P176,P74,1
P177,P74,1
P178,P75,1
P179,P75,1
P180,P75,1
P181,P75,1
P182,P75,1
P183,P81,1
P184,P81,1
P185,P81,1
P186,P82,1
P187,P82,1
P188,P82,1
P189,P83,1
P190,P83,1
P191,P83,1
P192,P83,1
P193,P83,1
P194,P84,1
P195,P84,1
P196,P85,1
P197,P85,4
P198,P85,1
P199,P85,1
P200,P88,1
P201,P88,1
P202,P88,1
P203,P89,1
P204,P89,1
P205,P89,1
P206,P89,1
P207,P90,1
P208,P90,1
P209,P90,1
P210,P90,1
P211,P90,1
P212,P91,1
P213,P91,1
P214,P92,1
P215,P92,1
P216,P93,1
P217,P93,1
P218,P93,1
P219,P94,1
P220,P94,1
P221,P94,1
P222,P94,1
P223,P97,1
P224,P97,1
P225,P97,1
P226,P97,1
P227,P98,1
P228,P98,1
P229,P99,1
P230,P99,1
P231,P99,1
P232,P99,1
P233,P99,1
P234,P101,1
P235,P101,1
P236,P101,1
P237,P102,1
P238,P102,1
P239,P103,1
P240,P103,4
P241,P103,1
P242,P103,1
P243,P105,1
P244,P105,1
P245,P106,1
P246,P106,1
P247,P106,1
P248,P106,1
P249,P106,1
P250,P108,1
P251,P108,1
P252,P108,2
P253,P109,1
P254,P109,1
P255,P109,1
P256,P109,1
P257,P111,1
P258,P111,1
P259,P113,1
P260,P113,1
P261,P113,1
P262,P116,1
P263,P116,1
P264,P118,2
P265,P118,1
P266,P118,1
P267,P119,1
P268,P119,1
P269,P120,4
P270,P120,1
P271,P120,1
P272,P121,1
P273,P121,1
P274,P121,1
P275,P121,1
P276,P121,4
P277,P122,1
P278,P122,1
P279,P122,1
P280,P123,1
P281,P123,4
P282,P123,1
P283,P124,1
P284,P124,1
P285,P124,1
P286,P124,1
P287,P125,1
P288,P125,1
P289,P125,1
P290,P125,1
P291,P125,1
P292,P126,1
P293,P126,1
P294,P126,1
P295,P126,1
P296,P127,1
P297,P127,1
P298,P127,1
P299,P128,1
P300,P128,1
P301,P128,1
P302,P130,2
P303,P130,1
P304,P130,1
P305,P131,1
P306,P131,1
P307,P131,1
P308,P131,1
P309,P131,1
P310,P132,1
P311,P132,1
P312,P132,1
P313,P132,1
P314,P135,1
P315,P135,1
