partid,cfp,co2
P1586,0.5925,0.5925
P1042,0.4554,0.4554
P1302,0.9403,0.9403
P1844,0.628,0.628
P913,0.7486,0.7486
P318,0.214,0.214
P862,0.4534,0.4534
P1598,0.5543,0.5543
P184,0.3757,0.3757
P1057,0.2684,0.2684
P1473,0.7393,0.7393
P1141,0.4676,0.4676
P1272,0.4609,0.4609
P1893,0.5496,0.5496
P912,0.5886,0.5886
P122,0.9398,0.9398
P1374,0.1958,0.1958
P220,0.6249,0.6249
P1572,0.1203,0.1203
P1759,0.2767,0.2767
P821,0.9476,0.9476
P1897,0.2746,0.2746
P1130,0.3363,0.3363
P870,0.2258,0.2258
P1120,0.8385,0.8385
P360,0.2012,0.2012
P1278,0.5591,0.5591
P1003,0.5623,0.5623
P1856,0.6407,0.6407
P1148,0.4977,0.4977
P584,0.4472,0.4472
P612,0.6887,0.6887
P1239,0.1738,0.1738
P826,0.2217,0.2217
P1476,0.233,0.233
P1465,0.9282,0.9282
P172,0.3437,0.3437
P133,0.1556,0.1556
P736,0.4302,0.4302
P682,0.8162,0.8162
P1061,0.5489,0.5489
P1675,0.4029,0.4029
P1584,0.9744,0.9744
P1310,0.82,0.82
P1912,0.3702,0.3702
P1821,0.1261,0.1261
P1928,0.1859,0.1859
P88,0.4313,0.4313
P519,0.615,0.615
P1691,0.7591,0.7591
P1545,0.2451,0.2451
P1949,0.4213,0.4213
P116,0.4546,0.4546
P543,0.348,0.348
P1926,0.3829,0.3829
P1093,0.351,0.351
P830,0.6529,0.6529
P546,0.3159,0.3159
P1829,0.4038,0.4038
P1388,0.8436,0.8436
P766,0.7789,0.7789
P17,0.479,0.479
P937,0.2242,0.2242
P654,0.9565,0.9565
P1404,0.1894,0.1894
P1344,0.6767,0.6767
P469,0.2255,0.2255
P1539,0.4646,0.4646
P1835,0.8021,0.8021
P1396,0.1771,0.1771
P917,0.2087,0.2087
P100,0.9782,0.9782
P482,0.1875,0.1875
P1595,0.2205,0.2205
P844,0.7719,0.7719
P285,0.5344,0.5344
P461,0.7719,0.7719
P1953,0.5799,0.5799
P603,0.631,0.631
P624,0.9681,0.9681
P518,0.1575,0.1575
P168,0.4413,0.4413
P431,0.7087,0.7087
P165,0.6805,0.6805
P352,0.7712,0.7712
P326,0.8565,0.8565
P155,0.4142,0.4142
P1075,0.591,0.591
P1214,0.1631,0.1631
P1864,0.6439,0.6439
P217,0.3057,0.3057
P312,0.619,0.619
P1590,0.4505,0.4505
P759,0.1546,0.1546
P957,0.7375,0.7375
P828,0.8449,0.8449
P1157,0.4702,0.4702
P1826,0.9839,0.9839
P674,0.5806,0.5806
P1976,0.9621,0.9621
P1266,0.5598,0.5598
P1100,0.9603,0.9603
P616,0.938,0.938
P1967,0.4479,0.4479
P1633,0.8212,0.8212
P1432,0.5725,0.5725
P562,0.1839,0.1839
P585,0.4789,0.4789
P670,0.2928,0.2928
P506,0.1128,0.1128
P1984,0.348,0.348
P156,0.498,0.498
P524,0.8292,0.8292
P1918,0.1007,0.1007
P782,0.2098,0.2098
P1004,0.2592,0.2592
P1287,0.7222,0.7222
P361,0.6954,0.6954
P435,0.5725,0.5725
P595,0.3559,0.3559
P597,0.246,0.246
P1739,0.8663,0.8663
P491,0.1497,0.1497
P1383,0.9065,0.9065
P1789,0.3794,0.3794
P1172,0.8688,0.8688
P724,0.1141,0.1141
P1849,0.1928,0.1928
P1681,0.4449,0.4449
P1516,0.229,0.229
P389,0.2905,0.2905
P1772,0.947,0.947
P1182,0.7554,0.7554
P1165,0.1728,0.1728
P1206,0.6743,0.6743
P1712,0.4924,0.4924
P591,0.744,0.744
P649,0.2843,0.2843
P683,0.8951,0.8951
P1736,0.9768,0.9768
P639,0.4425,0.4425
P15,0.5154,0.5154
P1529,0.4464,0.4464
P928,0.2961,0.2961
P1792,0.5496,0.5496
P1336,0.295,0.295
P255,0.5083,0.5083
P1640,0.898,0.898
P422,0.2691,0.2691
P1740,0.4064,0.4064
P554,0.3454,0.3454
P1447,0.9291,0.9291
P1091,0.5108,0.5108
P607,0.4642,0.4642
P973,0.4587,0.4587
P1621,0.9069,0.9069
P1870,0.7792,0.7792
P1909,0.4527,0.4527
P692,0.3256,0.3256
P33,0.976,0.976
P1852,0.7928,0.7928
P579,0.7681,0.7681
P1935,0.6085,0.6085
P120,0.1088,0.1088
P966,0.9048,0.9048
P38,0.7416,0.7416
P1765,0.7517,0.7517
P1767,0.1067,0.1067
P1051,0.4397,0.4397
P859,0.6537,0.6537
P311,0.3139,0.3139
P871,0.7248,0.7248
P1642,0.229,0.229
P1167,0.1262,0.1262
P1415,0.8474,0.8474
P969,0.3209,0.3209
P1951,0.3067,0.3067
P865,0.7163,0.7163
P396,0.4666,0.4666
P284,0.3545,0.3545
P230,0.5255,0.5255
P866,0.1156,0.1156
P86,0.2803,0.2803
P55,0.8184,0.8184
P340,0.991,0.991
P836,0.1693,0.1693
P209,0.6585,0.6585
P911,0.3939,0.3939
P374,0.6638,0.6638
P1741,0.8195,0.8195
P1417,0.6256,0.6256
P1693,0.2681,0.2681
P328,0.2456,0.2456
P236,0.6041,0.6041
P450,0.5657,0.5657
P1877,0.5185,0.5185
P1254,0.2931,0.2931
P225,0.6218,0.6218
P1307,0.5883,0.5883
P861,0.4621,0.4621
P1014,0.204,0.204
P185,0.1888,0.1888
P927,0.3295,0.3295
P1018,0.9785,0.9785
P1688,0.714,0.714
P563,0.6271,0.6271
P617,0.5844,0.5844
P1401,0.9922,0.9922
P1867,0.3607,0.3607
P1659,0.7066,0.7066
P78,0.8331,0.8331
P686,0.5482,0.5482
