partid,assembler
P17238,postgresB
P13713,postgresC
P4920,postgresC
P15023,postgresB
P19196,postgresB
P16022,postgresB
P1353,postgresB
P5236,postgresC
P11269,postgresC
P19945,postgresB
P6900,postgresB
P17807,postgresB
P1646,postgresB
P9972,postgresC
P9804,postgresB
P156,postgresC
P8994,postgresB
P15990,postgresB
P2836,postgresB
P18411,postgresC
P2527,postgresC
P21029,postgresB
P20465,postgresB
P2935,postgresB
P13008,postgresC
P1283,postgresB
P16170,postgresC
P14723,postgresC
P21397,postgresB
P9310,postgresB
P16932,postgresC
P4171,postgresB
P1036,postgresC
P12487,postgresC
P14022,postgresB
P18004,postgresC
P2963,postgresC
P20101,postgresB
P11245,postgresB
P8392,postgresB
P22236,postgresC
P1816,postgresB
P20399,postgresB
P12354,postgresC
P16883,postgresB
P10669,postgresB
P19215,postgresB
P19300,postgresC
P19090,postgresB
P16144,postgresB
P13060,postgresB
P20966,postgresB
P9112,postgresB
P14087,postgresC
P17005,postgresB
P3670,postgresC
P13288,postgresC
P3827,postgresC
P18239,postgresB
P6485,postgresC
P14424,postgresB
P6607,postgresC
P5721,postgresC
P12495,postgresB
P17406,postgresC
P20238,postgresC
P16482,postgresB
P4334,postgresC
P21388,postgresB
P8637,postgresB
P5986,postgresC
P22115,postgresB
P8372,postgresC
P22005,postgresB
P11736,postgresB
P18014,postgresB
P8287,postgresC
P14407,postgresC
P338,postgresB
P287,postgresB
P542,postgresB
P4798,postgresB
P6839,postgresC
P940,postgresC
P16030,postgresC
P9976,postgresC
P11327,postgresC
P19058,postgresC
P15504,postgresB
P17913,postgresC
P17378,postgresB
P1750,postgresC
P22219,postgresC
P3564,postgresB
P13717,postgresC
P17199,postgresB
P13466,postgresC
P17535,postgresC
P10164,postgresC
P19772,postgresB
P3989,postgresB
P9412,postgresB
P8344,postgresB
P10572,postgresB
P2562,postgresB
P10442,postgresB
P3254,postgresB
P10945,postgresB
P19220,postgresC
P19884,postgresC
P7364,postgresC
P4788,postgresB
P14692,postgresC
P6253,postgresB
P18218,postgresB
P6994,postgresB
P6916,postgresC
P2738,postgresC
P546,postgresB
P3011,postgresB
P11067,postgresC
P840,postgresC
P128,postgresB
P13474,postgresB
P2774,postgresC
P21027,postgresB
P9023,postgresC
P18120,postgresB
P18774,postgresB
P17290,postgresB
P1080,postgresC
P12802,postgresC
P8161,postgresC
P12990,postgresB
P2467,postgresB
P15691,postgresB
P13850,postgresC
P22651,postgresB
P15502,postgresB
P16623,postgresC
P21872,postgresC
P19850,postgresB
P2224,postgresB
P16826,postgresC
P16975,postgresC
P19655,postgresB
P18558,postgresC
P21989,postgresB
P2239,postgresB
P18161,postgresB
P18555,postgresB
P6329,postgresC
P14141,postgresB
P10748,postgresB
P4888,postgresB
P12313,postgresB
P11679,postgresC
P9651,postgresB
P20418,postgresB
P20074,postgresB
P8586,postgresB
P11039,postgresB
P3434,postgresC
P2542,postgresB
P8851,postgresB
P981,postgresC
P20974,postgresC
P9174,postgresC
P7924,postgresC
P7652,postgresC
P12553,postgresB
P15031,postgresC
P19340,postgresB
P15505,postgresC
P22740,postgresC
P22462,postgresB
P1527,postgresC
P11883,postgresB
P15311,postgresC
P15121,postgresC
P1776,postgresB
P3158,postgresC
P14281,postgresB
P20193,postgresB
P15785,postgresC
P15900,postgresB
P12482,postgresC
P10947,postgresB
P9380,postgresC
P12931,postgresC
P1119,postgresB
P13987,postgresC
P7771,postgresB
P4959,postgresC
P19407,postgresC
P4260,postgresB
P9940,postgresC
P6367,postgresC
P22501,postgresB
P14351,postgresB
P16160,postgresC
P6004,postgresC
P7231,postgresB
P18025,postgresB
P4529,postgresB
P5231,postgresC
P11936,postgresB
P21025,postgresC
P4238,postgresB
P11897,postgresB
P4209,postgresB
P17921,postgresC
P22463,postgresB
P19851,postgresB
P20632,postgresB
P13944,postgresB
P10661,postgresB
P6727,postgresC
P2769,postgresC
P272,postgresC
P19472,postgresB
P561,postgresB
P20353,postgresC
P15928,postgresC
P10695,postgresC
P22730,postgresB
P17190,postgresB
P449,postgresB
P1845,postgresB
P16590,postgresB
P9527,postgresB
P17537,postgresB
P12344,postgresB
P1738,postgresC
P742,postgresC
P7560,postgresB
P1464,postgresB
P21121,postgresB
P9399,postgresB
P6348,postgresB
P2417,postgresC
P16887,postgresB
P6168,postgresC
P13769,postgresC
P814,postgresC
P16574,postgresC
P4988,postgresB
P22222,postgresC
P8849,postgresB
P18000,postgresB
P1348,postgresB
P2438,postgresB
P22576,postgresC
P16438,postgresC
P7149,postgresC
P11073,postgresB
P9798,postgresB
P2419,postgresB
P67,postgresC
P19411,postgresC
P20234,postgresB
P2918,postgresC
P20186,postgresB
P5125,postgresB
P21907,postgresC
P18466,postgresC
P21731,postgresC
P19978,postgresB
P18018,postgresB
P12041,postgresC
P4815,postgresC
P10239,postgresC
P5393,postgresB
P17215,postgresB
P14869,postgresC
P15454,postgresC
P16986,postgresB
P17942,postgresC
P12552,postgresB
P5122,postgresC
P5929,postgresB
P11163,postgresB
P3858,postgresB
P1545,postgresC
P18669,postgresB
P7236,postgresB
P16955,postgresB
P13091,postgresC
P1819,postgresC
P12026,postgresC
P18482,postgresB
P12743,postgresB
P5131,postgresB
P21914,postgresB
P2353,postgresB
P8083,postgresC
P20541,postgresB
P3582,postgresB
P3231,postgresB
P4872,postgresC
P10405,postgresB
P3413,postgresB
P6704,postgresC
P1327,postgresC
P18443,postgresB
P2322,postgresB
P16489,postgresC
P11969,postgresB
P11216,postgresC
P12637,postgresB
P8908,postgresB
P22351,postgresC
P15224,postgresB
P18407,postgresC
P7688,postgresC
P19033,postgresC
P196,postgresC
P21278,postgresC
P13568,postgresC
P19042,postgresC
P21584,postgresB
P18383,postgresB
P3045,postgresB
P5545,postgresC
P5717,postgresB
P13019,postgresB
P19066,postgresC
P16496,postgresB
P12817,postgresB
P6777,postgresC
P7492,postgresC
P3338,postgresC
P13268,postgresC
P20483,postgresC
P4749,postgresB
P6105,postgresB
P14110,postgresB
P7733,postgresB
P21905,postgresC
P6851,postgresC
P7365,postgresB
P22456,postgresC
P21270,postgresB
P12114,postgresB
P9614,postgresB
P1122,postgresB
P15573,postgresC
P19814,postgresC
P16715,postgresC
P13366,postgresC
P15670,postgresC
P16971,postgresC
P5084,postgresB
P16512,postgresC
