partid,parents_partid,qty
P0,null,1
P1,P0,1
P2,P0,1
P3,P1,1
P4,P1,1
P5,P1,1
P6,P1,1
P7,P1,1
P8,P2,1
P9,P2,1
P10,P2,1
P11,P3,1
P12,P3,1
P13,P3,1
P14,P3,1
P15,P4,1
P16,P4,1
P17,P4,1
P18,P5,1
P19,P5,1
P20,P5,1
P21,P5,1
P22,P5,1
P23,P6,1
P24,P6,1
P25,P6,1
P26,P7,1
P27,P7,1
P28,P8,1
P29,P8,1
P30,P8,1
P31,P9,1
P32,P9,1
P33,P10,1
P34,P10,1
P35,P11,1
P36,P11,1
P37,P11,1
P38,P13,1
P39,P13,1
P40,P13,1
P41,P17,1
P42,P17,1
P43,P18,1
P44,P18,1
P45,P18,1
P46,P18,1
P47,P18,1
P48,P19,1
P49,P19,1
P50,P19,1
P51,P19,1
P52,P19,1
P53,P20,1
P54,P20,1
P55,P20,1
P56,P21,1
P57,P21,1
P58,P21,1
P59,P21,1
P60,P22,1
P61,P22,1
P62,P22,1
P63,P22,1
P64,P22,1
P65,P23,1
P66,P23,1
P67,P24,1
P68,P24,1
P69,P24,1
P70,P24,1
P71,P24,1
P72,P26,1
P73,P26,1
P74,P27,1
P75,P27,1
P76,P28,1
P77,P28,1
P78,P28,1
P79,P28,1
P80,P29,1
P81,P29,1
P82,P29,1
P83,P29,1
P84,P29,1
P85,P31,1
P86,P31,1
P87,P31,1
P88,P31,1
P89,P31,1
P90,P33,1
P91,P33,1
P92,P33,1
P93,P34,1
P94,P34,1
P95,P36,1
P96,P36,1
P97,P36,1
P98,P36,1
P99,P37,1
P100,P37,1
P101,P37,1
P102,P37,1
P103,P38,1
P104,P38,1
P105,P38,1
P106,P38,1
P107,P39,1
P108,P39,1
P109,P39,1
P110,P39,1
P111,P40,1
P112,P40,1
P113,P40,1
P114,P40,1
P115,P44,1
P116,P44,1
P117,P44,1
P118,P45,1
P119,P45,1
P120,P46,1
P121,P46,1
P122,P46,1
P123,P46,1
P124,P46,1
P125,P47,1
P126,P47,1
P127,P48,1
P128,P48,1
P129,P48,1
P130,P51,1
P131,P51,1
P132,P52,1
P133,P52,1
P134,P52,1
P135,P52,1
P136,P54,1
P137,P54,1
P138,P54,1
P139,P55,1
P140,P55,1
P141,P56,1
P142,P56,1
P143,P56,1
P144,P56,1
P145,P56,4
P146,P57,1
P147,P57,1
P148,P57,1
P149,P59,1
P150,P59,1
P151,P61,1
P152,P61,1
P153,P61,1
P154,P61,1
P155,P61,1
P156,P62,1
P157,P62,1
P158,P63,1
P159,P63,1
P160,P63,1
P161,P63,1
P162,P63,1
P163,P64,1
P164,P64,1
P165,P66,1
P166,P66,1
P167,P67,1
P168,P67,1
P169,P67,1
P170,P68,1
P171,P68,1
P172,P68,1
P173,P69,1
P174,P69,1
P175,P69,1
P176,P70,1
P177,P70,1
P178,P70,1
P179,P74,1
P180,P74,1
P181,P74,1
P182,P74,1
P183,P74,2
P184,P76,1
P185,P76,1
P186,P76,1
P187,P76,1
P188,P77,1
P189,P77,1
P190,P79,1
P191,P79,1
P192,P79,1
P193,P79,1
P194,P80,1
P195,P80,1
P196,P80,1
P197,P81,1
P198,P81,1
P199,P81,1
P200,P81,1
P201,P82,1
P202,P82,1
P203,P82,1
P204,P82,1
P205,P83,1
P206,P83,1
P207,P83,1
P208,P84,1
P209,P84,1
P210,P84,1
P211,P85,1
P212,P85,1
P213,P85,1
P214,P86,1
P215,P86,1
P216,P86,1
P217,P87,1
P218,P87,1
P219,P87,1
P220,P87,1
P221,P87,1
P222,P88,1
P223,P88,1
P224,P88,1
P225,P88,1
P226,P88,1
P227,P91,1
P228,P91,1
P229,P91,1
P230,P92,1
P231,P92,1
P232,P92,1
P233,P92,1
P234,P93,1
P235,P93,1
P236,P93,1
P237,P95,1
P238,P95,1
P239,P95,1
P240,P95,1
P241,P97,1
P242,P97,1
P243,P97,1
P244,P97,1
P245,P99,1
P246,P99,1
P247,P99,1
P248,P99,1
P249,P101,1
P250,P101,1
P251,P103,1
P252,P103,1
P253,P103,1
P254,P103,1
P255,P104,1
P256,P104,1
P257,P104,1
P258,P106,1
P259,P106,1
P260,P106,1
P261,P106,1
P262,P106,1
P263,P108,1
P264,P108,1
P265,P108,1
P266,P108,1
P267,P108,1
P268,P110,1
P269,P110,1
P270,P110,1
P271,P110,1
P272,P112,1
P273,P112,1
P274,P114,1
P275,P114,1
P276,P114,1
P277,P115,1
P278,P115,1
P279,P116,1
P280,P116,1
P281,P116,1
P282,P116,1
P283,P116,1
P284,P117,2
P285,P117,1
P286,P117,1
P287,P117,1
P288,P117,1
P289,P118,1
P290,P118,1
P291,P118,1
P292,P118,1
P293,P118,1
P294,P119,1
P295,P119,1
P296,P119,1
P297,P119,1
P298,P119,1
P299,P120,1
P300,P120,1
P301,P120,1
P302,P121,1
P303,P121,1
P304,P121,1
P305,P121,1
P306,P121,1
P307,P122,1
P308,P122,1
P309,P122,1
P310,P122,1
P311,P124,1
P312,P124,1
P313,P124,1
P314,P127,1
P315,P127,1
