partid,assembler
P17238,postgresB
P13713,postgresB
P4920,postgresC
P15023,postgresB
P19196,postgresB
P16022,postgresC
P1353,postgresC
P5236,postgresC
P11269,postgresB
P19945,postgresC
P6900,postgresB
P17807,postgresC
P1646,postgresB
P9972,postgresC
P9804,postgresB
P156,postgresC
P8994,postgresC
P15990,postgresB
P2836,postgresC
P18411,postgresC
P2527,postgresC
P21029,postgresB
P20465,postgresB
P2935,postgresB
P13008,postgresC
P1283,postgresC
P16170,postgresB
P14723,postgresC
P21397,postgresB
P9310,postgresC
P16932,postgresC
P4171,postgresB
P1036,postgresC
P12487,postgresC
P14022,postgresC
P18004,postgresB
P2963,postgresB
P20101,postgresB
P11245,postgresB
P8392,postgresC
P22236,postgresC
P1816,postgresC
P20399,postgresC
P12354,postgresC
P16883,postgresB
P10669,postgresC
P19215,postgresB
P19300,postgresC
P19090,postgresC
P16144,postgresC
P13060,postgresC
P20966,postgresC
P9112,postgresC
P14087,postgresB
P17005,postgresC
P3670,postgresB
P13288,postgresB
P3827,postgresC
P18239,postgresB
P6485,postgresB
P14424,postgresC
P6607,postgresC
P5721,postgresB
P12495,postgresC
P17406,postgresC
P20238,postgresB
P16482,postgresC
P4334,postgresC
P21388,postgresB
P8637,postgresB
P5986,postgresB
P22115,postgresC
P8372,postgresC
P22005,postgresB
P11736,postgresB
P18014,postgresC
P8287,postgresB
P14407,postgresB
P338,postgresB
P287,postgresC
P542,postgresB
P4798,postgresC
P6839,postgresB
P940,postgresC
P16030,postgresC
P9976,postgresC
P11327,postgresC
P19058,postgresB
P15504,postgresC
P17913,postgresB
P17378,postgresC
P1750,postgresC
P22219,postgresC
P3564,postgresB
P13717,postgresB
P17199,postgresB
P13466,postgresC
P17535,postgresC
P10164,postgresB
P19772,postgresB
P3989,postgresC
P9412,postgresC
P8344,postgresB
P10572,postgresB
P2562,postgresC
P10442,postgresB
P3254,postgresC
P10945,postgresC
P19220,postgresB
P19884,postgresC
P7364,postgresB
P4788,postgresC
P14692,postgresC
P6253,postgresB
P18218,postgresB
P6994,postgresC
P6916,postgresC
P2738,postgresB
P546,postgresB
P3011,postgresB
P11067,postgresC
P840,postgresC
P128,postgresC
P13474,postgresB
P2774,postgresC
P21027,postgresB
P9023,postgresC
P18120,postgresB
P18774,postgresB
P17290,postgresB
P1080,postgresB
P12802,postgresC
P8161,postgresC
P12990,postgresB
P2467,postgresC
P15691,postgresC
P13850,postgresC
P22651,postgresC
P15502,postgresC
P16623,postgresB
P21872,postgresC
P19850,postgresC
P2224,postgresC
P16826,postgresC
P16975,postgresB
P19655,postgresB
P18558,postgresB
P21989,postgresB
P2239,postgresC
P18161,postgresC
P18555,postgresC
P6329,postgresC
P14141,postgresC
P10748,postgresC
P4888,postgresB
P12313,postgresB
P11679,postgresB
P9651,postgresC
P20418,postgresC
P20074,postgresB
P8586,postgresC
P11039,postgresC
P3434,postgresC
P2542,postgresB
P8851,postgresC
P981,postgresC
P20974,postgresC
P9174,postgresB
P7924,postgresC
P7652,postgresC
P12553,postgresC
P15031,postgresB
P19340,postgresC
P15505,postgresB
P22740,postgresC
P22462,postgresB
P1527,postgresC
P11883,postgresC
P15311,postgresB
P15121,postgresC
P1776,postgresB
P3158,postgresB
P14281,postgresC
P20193,postgresB
P15785,postgresC
P15900,postgresB
P12482,postgresB
P10947,postgresB
P9380,postgresB
P12931,postgresB
P1119,postgresB
P13987,postgresC
P7771,postgresC
P4959,postgresC
P19407,postgresC
P4260,postgresC
P9940,postgresB
P6367,postgresB
P22501,postgresC
P14351,postgresC
P16160,postgresC
P6004,postgresB
P7231,postgresC
P18025,postgresC
P4529,postgresB
P5231,postgresC
P11936,postgresB
P21025,postgresB
P4238,postgresC
P11897,postgresB
P4209,postgresB
P17921,postgresC
P22463,postgresB
P19851,postgresC
P20632,postgresB
