partid,cfp,co2
P950,0.1439,0.1439
P411,0.6288,0.6288
P20876,0.6965,0.6965
P19683,0.8719,0.8719
P4736,0.4576,0.4576
P23288,0.333,0.333
P6023,0.2724,0.2724
P19115,0.9711,0.9711
P11618,0.245,0.245
P4791,0.33,0.33
P21630,0.9649,0.9649
P11002,0.1762,0.1762
P9000,0.346,0.346
P11972,0.3701,0.3701
P19439,0.4109,0.4109
P8372,0.4385,0.4385
P22486,0.9234,0.9234
P13528,0.8268,0.8268
P11557,0.8561,0.8561
P9118,0.2455,0.2455
P11939,0.2492,0.2492
P10339,0.1198,0.1198
P13474,0.583,0.583
P21646,0.2298,0.2298
P18718,0.8395,0.8395
P2596,0.1898,0.1898
P9236,0.6634,0.6634
P12524,0.3561,0.3561
P22748,0.8175,0.8175
P20317,0.1953,0.1953
P15825,0.5485,0.5485
P3764,0.4192,0.4192
P16327,0.5635,0.5635
P8730,0.826,0.826
P24451,0.1162,0.1162
P14809,0.9571,0.9571
P18122,0.2089,0.2089
P14931,0.9905,0.9905
P1887,0.9871,0.9871
P18727,0.1743,0.1743
P17083,0.6675,0.6675
P12802,0.6859,0.6859
P8252,0.4592,0.4592
P23183,0.374,0.374
P19136,0.5859,0.5859
P13083,0.7604,0.7604
P23495,0.4594,0.4594
P10044,0.1001,0.1001
P6476,0.7349,0.7349
P8930,0.2868,0.2868
P19592,0.3326,0.3326
P16175,0.98,0.98
P11364,0.74,0.74
P16475,0.9691,0.9691
P15442,0.4396,0.4396
P17129,0.1173,0.1173
P12851,0.9159,0.9159
P24005,0.2425,0.2425
P6041,0.1751,0.1751
P22317,0.895,0.895
P17655,0.3412,0.3412
P3760,0.8971,0.8971
P7352,0.6272,0.6272
P17818,0.4519,0.4519
P8331,0.7683,0.7683
P12189,0.8711,0.8711
P13465,0.2805,0.2805
P9150,0.8269,0.8269
P23628,0.1782,0.1782
P4023,0.5431,0.5431
P14971,0.7709,0.7709
P14550,0.8146,0.8146
P17044,0.68,0.68
P22953,0.82,0.82
P24191,0.2423,0.2423
P21446,0.5079,0.5079
P2185,0.2745,0.2745
P14539,0.8324,0.8324
P11398,0.6597,0.6597
P3695,0.8184,0.8184
P6327,0.3196,0.3196
P16335,0.597,0.597
P12500,0.7541,0.7541
P9668,0.2768,0.2768
P22354,0.1922,0.1922
P17291,0.2257,0.2257
P16737,0.342,0.342
P11700,0.4762,0.4762
P21324,0.5446,0.5446
P6784,0.8911,0.8911
P18568,0.1064,0.1064
P12917,0.8113,0.8113
P11791,0.2033,0.2033
P21820,0.7144,0.7144
P22667,0.9051,0.9051
P17953,0.6219,0.6219
P4150,0.8217,0.8217
P8250,0.94,0.94
P17225,0.7259,0.7259
P12062,0.3084,0.3084
P22846,0.8378,0.8378
P4992,0.1193,0.1193
P13059,0.9058,0.9058
P892,0.3319,0.3319
P16670,0.4038,0.4038
P111,0.1123,0.1123
P2669,0.3734,0.3734
P21214,0.1694,0.1694
P23044,0.664,0.664
P15421,0.3358,0.3358
P4121,0.5609,0.5609
P14348,0.8995,0.8995
P18102,0.9087,0.9087
P3103,0.1717,0.1717
P23015,0.5017,0.5017
P17913,0.6234,0.6234
P166,0.6098,0.6098
P1403,0.2745,0.2745
P12038,0.2813,0.2813
P21919,0.4005,0.4005
P2172,0.8153,0.8153
P3663,0.3636,0.3636
P21459,0.352,0.352
P16454,0.8576,0.8576
P843,0.6623,0.6623
P13453,0.2754,0.2754
P10054,0.2711,0.2711
P4216,0.6795,0.6795
P4737,0.5177,0.5177
P11738,0.9506,0.9506
P17890,0.1666,0.1666
P24479,0.2793,0.2793
P436,0.32,0.32
P22386,0.4526,0.4526
P22090,0.5836,0.5836
P11705,0.6849,0.6849
P5341,0.5663,0.5663
P10424,0.5955,0.5955
P10884,0.4189,0.4189
P523,0.7826,0.7826
P741,0.8926,0.8926
P9874,0.3253,0.3253
P15095,0.7568,0.7568
P11631,0.8578,0.8578
P20120,0.8985,0.8985
P22262,0.405,0.405
P24283,0.5933,0.5933
P2118,0.3623,0.3623
P14421,0.9059,0.9059
P4103,0.7798,0.7798
P2271,0.6279,0.6279
P20985,0.9956,0.9956
P10329,0.1089,0.1089
P15752,0.9048,0.9048
P21874,0.9567,0.9567
P18103,0.6508,0.6508
P13154,0.989,0.989
P18473,0.1211,0.1211
P23018,0.7624,0.7624
P4482,0.6759,0.6759
P21795,0.961,0.961
P21735,0.2461,0.2461
P13928,0.1424,0.1424
P26,0.2064,0.2064
P14060,0.6631,0.6631
P10781,0.4519,0.4519
P19494,0.3098,0.3098
P20601,0.1101,0.1101
P9381,0.5259,0.5259
P20534,0.9024,0.9024
P22164,0.2417,0.2417
P23207,0.8697,0.8697
P14289,0.3093,0.3093
P21898,0.2021,0.2021
P6168,0.2096,0.2096
P13879,0.2552,0.2552
P12178,0.153,0.153
P9763,0.4651,0.4651
P7343,0.4785,0.4785
P20171,0.9536,0.9536
P802,0.9942,0.9942
P12433,0.9295,0.9295
P3873,0.5861,0.5861
P8547,0.9987,0.9987
P22576,0.7686,0.7686
P2021,0.1161,0.1161
P12927,0.8259,0.8259
P13968,0.6615,0.6615
P20965,0.4248,0.4248
P7069,0.3324,0.3324
P21798,0.9861,0.9861
P15926,0.6013,0.6013
P7641,0.2719,0.2719
P19085,0.9075,0.9075
P2386,0.2013,0.2013
P22339,0.7368,0.7368
P17547,0.1685,0.1685
P19547,0.3767,0.3767
P5678,0.169,0.169
P21534,0.8634,0.8634
P13447,0.4524,0.4524
P18148,0.4555,0.4555
P4872,0.6852,0.6852
P11728,0.4026,0.4026
P271,0.3791,0.3791
P10306,0.7707,0.7707
P12769,0.9497,0.9497
P21096,0.3142,0.3142
P12650,0.6684,0.6684
P15309,0.9438,0.9438
P437,0.2978,0.2978
P10388,0.2404,0.2404
P6529,0.717,0.717
P8579,0.3656,0.3656
P16741,0.2532,0.2532
P15261,0.545,0.545
P20319,0.767,0.767
P20782,0.8392,0.8392
P12956,0.9242,0.9242
P20979,0.5262,0.5262
P21724,0.2282,0.2282
P2060,0.1783,0.1783
P15952,0.5703,0.5703
P10516,0.9381,0.9381
P8026,0.4538,0.4538
P22591,0.5977,0.5977
P7922,0.5287,0.5287
P23155,0.4214,0.4214
P2152,0.2292,0.2292
P3575,0.6232,0.6232
P6377,0.357,0.357
P19821,0.3815,0.3815
P11946,0.9665,0.9665
P23365,0.8066,0.8066
P22952,0.9732,0.9732
P5115,0.2968,0.2968
P11227,0.2195,0.2195
P5018,0.297,0.297
P3788,0.6268,0.6268
P16655,0.5691,0.5691
P14157,0.3938,0.3938
P12530,0.7139,0.7139
P1965,0.1839,0.1839
P11016,0.5883,0.5883
