partid,assembler
P21855,postgresB
P7619,postgresC
P13627,postgresB
P19983,postgresC
P11191,postgresB
P19946,postgresB
P5865,postgresC
P19574,postgresC
P22339,postgresB
P8209,postgresC
P17405,postgresC
P19586,postgresC
P22578,postgresC
P11094,postgresB
P5515,postgresB
P17820,postgresC
P3031,postgresC
P20310,postgresB
P3199,postgresC
P14537,postgresC
P20628,postgresC
P8720,postgresC
P10850,postgresB
P132,postgresC
P8391,postgresC
P4430,postgresC
P4393,postgresC
P5938,postgresC
P4398,postgresC
P291,postgresC
P6274,postgresB
P3430,postgresC
P8474,postgresB
P10664,postgresB
P22781,postgresC
P9160,postgresC
P6532,postgresB
P15824,postgresC
P451,postgresC
P11915,postgresB
P21021,postgresB
P21989,postgresB
P22071,postgresC
P8062,postgresC
P7584,postgresC
P10302,postgresC
P22441,postgresB
P3479,postgresC
P1874,postgresC
P20126,postgresB
P13404,postgresC
P16943,postgresC
P18175,postgresC
P1832,postgresB
P14295,postgresB
P2566,postgresC
P21577,postgresB
P563,postgresB
P13191,postgresC
P15881,postgresC
P17896,postgresC
P16470,postgresC
P14536,postgresC
P8502,postgresC
P11752,postgresC
P18960,postgresB
P16914,postgresC
P21725,postgresB
P17496,postgresB
P9025,postgresC
P11015,postgresC
P9817,postgresB
P14367,postgresC
P20201,postgresB
P3041,postgresB
P17971,postgresC
P7471,postgresB
P6306,postgresB
P7751,postgresB
P5242,postgresC
P19714,postgresB
P8548,postgresB
P11806,postgresB
P711,postgresC
P20410,postgresB
P970,postgresB
P14990,postgresB
P14780,postgresC
P19193,postgresC
P3778,postgresC
P15003,postgresB
P20123,postgresB
P10065,postgresB
P15754,postgresC
P5800,postgresB
P20813,postgresB
P1138,postgresB
P17953,postgresC
P17223,postgresB
P9274,postgresC
P22573,postgresB
P12778,postgresC
P17014,postgresB
P11249,postgresC
P18318,postgresC
P3102,postgresB
P11293,postgresB
P20665,postgresB
P18281,postgresB
P21415,postgresC
P201,postgresB
P10340,postgresC
P20825,postgresB
P5468,postgresB
P2427,postgresB
P512,postgresC
P1523,postgresC
P7355,postgresC
P14190,postgresC
P6699,postgresB
P1824,postgresB
P16107,postgresC
P11308,postgresB
P15723,postgresB
P7346,postgresB
P3792,postgresC
P5519,postgresC
P9766,postgresC
P5136,postgresC
P20594,postgresB
P12317,postgresC
P4912,postgresB
P14373,postgresB
P14968,postgresC
P22333,postgresB
P9019,postgresB
P8558,postgresB
P11746,postgresB
P15810,postgresB
P16460,postgresC
P21157,postgresB
P17905,postgresC
P10263,postgresC
P13533,postgresB
P5222,postgresC
P1371,postgresB
P3330,postgresC
P17868,postgresB
P7278,postgresB
P6882,postgresC
P8484,postgresB
P9573,postgresB
P9491,postgresB
P5381,postgresC
P9953,postgresB
P14522,postgresB
P8702,postgresC
P7322,postgresB
P6184,postgresB
P10950,postgresC
P6305,postgresC
P18774,postgresC
P18257,postgresB
P19683,postgresC
P2659,postgresB
P10960,postgresB
P18157,postgresB
P9232,postgresB
P13355,postgresB
P10091,postgresB
P12260,postgresB
P9641,postgresC
P7246,postgresB
P15857,postgresC
P8414,postgresB
P15008,postgresB
P5623,postgresC
P3230,postgresC
P22581,postgresB
P10677,postgresC
P10099,postgresB
P195,postgresC
P18374,postgresC
P11583,postgresC
P17473,postgresC
P16909,postgresC
P15039,postgresC
P992,postgresC
P1453,postgresC
P6933,postgresB
P20384,postgresB
P21514,postgresB
P22031,postgresB
P13824,postgresC
P15486,postgresC
P21992,postgresC
P13764,postgresB
P516,postgresB
P16625,postgresC
P6106,postgresB
P15882,postgresC
P4833,postgresC
P7910,postgresC
P13119,postgresB
P15778,postgresB
P7797,postgresB
P22258,postgresC
P20232,postgresC
P17609,postgresB
P15178,postgresC
P18059,postgresB
P12185,postgresB
P1606,postgresC
P2561,postgresB
P5952,postgresC
P282,postgresB
P15516,postgresC
P4864,postgresB
P8500,postgresB
P9551,postgresB
P12276,postgresB
P17838,postgresC
P14420,postgresB
P21132,postgresB
P5469,postgresC
P12701,postgresB
P15603,postgresB
P12142,postgresC
P20949,postgresB
P5595,postgresB
P11283,postgresB
P18930,postgresB
P13909,postgresB
P9530,postgresC
P14974,postgresB
P2909,postgresC
P13802,postgresB
P7273,postgresB
P17859,postgresB
P11133,postgresC
P9195,postgresB
P21899,postgresB
P639,postgresB
P14757,postgresB
P2372,postgresB
P4260,postgresC
P12057,postgresC
P5540,postgresC
P594,postgresC
P13676,postgresC
P20303,postgresB
P14746,postgresB
P3263,postgresB
P335,postgresB
P11213,postgresC
P4249,postgresB
P1796,postgresB
P18447,postgresB
P1303,postgresB
P19328,postgresB
P2912,postgresC
P226,postgresB
P14244,postgresB
P8536,postgresB
P772,postgresC
P4748,postgresC
P4100,postgresC
P13230,postgresB
P463,postgresC
P13688,postgresB
P1588,postgresC
P9506,postgresB
P5750,postgresC
P12610,postgresC
P16008,postgresC
P6313,postgresC
P3616,postgresC
P21487,postgresB
P153,postgresB
P19469,postgresB
P20009,postgresB
P2075,postgresB
P20404,postgresC
P5449,postgresC
P9292,postgresC
P8556,postgresB
P20528,postgresB
P13512,postgresB
P6117,postgresC
P12628,postgresB
P4926,postgresC
P13254,postgresB
P4188,postgresC
P3926,postgresB
P8035,postgresC
P11151,postgresB
P3438,postgresC
P7022,postgresB
P581,postgresB
P5181,postgresC
P5598,postgresC
P5340,postgresB
P19950,postgresC
P15257,postgresC
P19863,postgresB
P17770,postgresC
P17939,postgresC
P140,postgresC
P3109,postgresB
P6573,postgresB
P18663,postgresC
P2357,postgresB
P6917,postgresC
P21298,postgresB
P20647,postgresB
P10245,postgresB
P4925,postgresC
P6232,postgresC
P5219,postgresC
P18089,postgresC
P1296,postgresB
P14581,postgresB
P21876,postgresB
P10619,postgresB
P18153,postgresB
P5696,postgresC
P20992,postgresB
P2227,postgresC
P21138,postgresB
P19461,postgresC
P18146,postgresB
P1970,postgresC
P16095,postgresC
P11408,postgresB
P5186,postgresB
P900,postgresB
P8675,postgresB
P19905,postgresC
P17563,postgresB
P9016,postgresB
P5695,postgresB
P16894,postgresB
P12279,postgresC
P1834,postgresC
P15910,postgresC
P8206,postgresB
P19628,postgresB
P3042,postgresB
P12990,postgresC
P10137,postgresC
P20567,postgresC
P10879,postgresB
P12220,postgresC
P17805,postgresB
P18072,postgresB
P8510,postgresC
P19282,postgresC
P15023,postgresB
P4307,postgresC
P14301,postgresC
P8294,postgresB
P11693,postgresB
P6440,postgresB
P19288,postgresB
P19367,postgresB
P15170,postgresC
P18397,postgresC
P22727,postgresB
P18852,postgresC
P12000,postgresC
P11182,postgresC
P12609,postgresC
P22025,postgresB
P3706,postgresC
P9584,postgresB
P20618,postgresC
P12826,postgresB
P17286,postgresB
P16274,postgresC
P1906,postgresB
P17921,postgresB
P18107,postgresC
P6391,postgresB
P19239,postgresC
P7282,postgresC
P7351,postgresC
P10643,postgresC
P10479,postgresB
P17548,postgresB
P20023,postgresB
P4238,postgresC
P17664,postgresC
P736,postgresC
P2265,postgresB
P8761,postgresC
P4332,postgresC
P18642,postgresC
P21237,postgresC
P4845,postgresC
P5185,postgresC
P3585,postgresC
P7463,postgresB
P8200,postgresB
P5565,postgresB
P6852,postgresC
P11953,postgresC
P2775,postgresC
P12845,postgresB
P18442,postgresC
P4558,postgresB
P21042,postgresB
P8866,postgresC
P13839,postgresC
P21881,postgresC
P19230,postgresB
P966,postgresB
P6267,postgresC
P19515,postgresC
P407,postgresB
P4015,postgresB
P13717,postgresB
P5550,postgresC
P3060,postgresB
P3132,postgresC
P11629,postgresB
P8127,postgresB
P17734,postgresC
P22418,postgresC
P4917,postgresC
P1014,postgresC
P4104,postgresC
P11843,postgresB
P1878,postgresB
P598,postgresC
P1911,postgresB
P14396,postgresB
P10956,postgresC
P6584,postgresB
P7757,postgresB
P17545,postgresC
P18745,postgresC
P13797,postgresC
P37,postgresB
P8618,postgresC
P21341,postgresC
P5471,postgresC
P6448,postgresC
P5908,postgresB
P20849,postgresC
P15668,postgresB
P15091,postgresB
P14388,postgresB
P22249,postgresB
P13634,postgresC
P6399,postgresC
P4024,postgresB
P3979,postgresB
P3924,postgresC
P2893,postgresB
P11331,postgresB
P15707,postgresC
P15118,postgresB
P20465,postgresB
P16634,postgresB
P17149,postgresC
P8227,postgresB
P2408,postgresB
P20269,postgresC
P1709,postgresC
P13434,postgresB
P6222,postgresB
P20703,postgresC
P6315,postgresC
P10080,postgresC
P13223,postgresB
P19462,postgresB
P19493,postgresC
P813,postgresC
P5788,postgresC
P717,postgresC
P12288,postgresB
P6645,postgresB
P19124,postgresC
P8387,postgresB
P14201,postgresC
P9190,postgresB
P5650,postgresC
P9050,postgresC
P5057,postgresC
P1965,postgresB
P11262,postgresB
P1849,postgresB
P817,postgresB
P4998,postgresB
P209,postgresC
P4680,postgresC
P10090,postgresB
P22222,postgresB
P2211,postgresC
P6130,postgresB
P16387,postgresB
P8563,postgresB
P15322,postgresC
P11798,postgresC
P19436,postgresB
P16100,postgresB
P22665,postgresB
P19633,postgresB
P1562,postgresB
P8000,postgresC
P17679,postgresB
P11853,postgresC
P11876,postgresC
P22746,postgresB
P12734,postgresC
P22210,postgresC
P9036,postgresB
P12471,postgresC
P21106,postgresC
P14562,postgresB
P19703,postgresB
P5833,postgresB
P11223,postgresB
P1733,postgresC
P14053,postgresB
P2049,postgresC
P13354,postgresC
P8071,postgresB
P3918,postgresC
P11102,postgresC
P13813,postgresB
P1194,postgresC
P15587,postgresB
P8908,postgresC
P17029,postgresB
P14512,postgresB
P16714,postgresC
