partid,cfp,co2
P817,0.7956,0.7956
P2085,0.6251,0.6251
P1705,0.7937,0.7937
P5093,0.4827,0.4827
P6150,0.3715,0.3715
P7105,0.4647,0.4647
P842,0.9936,0.9936
P5552,0.4578,0.4578
P22556,0.7964,0.7964
P7962,0.3723,0.3723
P2739,0.1316,0.1316
P21812,0.1659,0.1659
P15302,0.5209,0.5209
P23566,0.2723,0.2723
P21829,0.8731,0.8731
P24208,0.2045,0.2045
P25709,0.1991,0.1991
P29350,0.7655,0.7655
P16593,0.6371,0.6371
P20130,0.385,0.385
P17530,0.4915,0.4915
P21124,0.283,0.283
P26143,0.2286,0.2286
P1483,0.2659,0.2659
P8865,0.6959,0.6959
P25560,0.434,0.434
P25566,0.5725,0.5725
P19400,0.1189,0.1189
P22121,0.9802,0.9802
P17604,0.7514,0.7514
P28001,0.9279,0.9279
P21434,0.158,0.158
P12264,0.9743,0.9743
P16230,0.7114,0.7114
P29342,0.9982,0.9982
P10638,0.2961,0.2961
P5833,0.7462,0.7462
P11951,0.1183,0.1183
P9216,0.2538,0.2538
P12479,0.2289,0.2289
P17458,0.6338,0.6338
P27073,0.833,0.833
P26167,0.5917,0.5917
P24765,0.7036,0.7036
P11197,0.9231,0.9231
P17490,0.6377,0.6377
P3052,0.1942,0.1942
P25732,0.9322,0.9322
P16723,0.3097,0.3097
P10979,0.4898,0.4898
P5142,0.4512,0.4512
P10987,0.8727,0.8727
P4780,0.9373,0.9373
P16671,0.3962,0.3962
P11680,0.2477,0.2477
P18769,0.7289,0.7289
P16339,0.2147,0.2147
P18245,0.8605,0.8605
P17190,0.4516,0.4516
P28090,0.6237,0.6237
P401,0.2304,0.2304
P23781,0.2181,0.2181
P23303,0.8717,0.8717
P14646,0.5692,0.5692
P22766,0.778,0.778
P17110,0.9969,0.9969
P22414,0.9333,0.9333
P13714,0.3006,0.3006
P1734,0.4016,0.4016
P5141,0.2448,0.2448
P27058,0.2537,0.2537
P16990,0.9732,0.9732
P12752,0.6594,0.6594
P23775,0.8425,0.8425
