partid,cfp,co2
P817,0.9268,0.9268
P26995,0.7609,0.7609
P5755,0.9927,0.9927
P16850,0.687,0.687
P6150,0.2859,0.2859
P17682,0.1254,0.1254
P842,0.2449,0.2449
P7209,0.7014,0.7014
P4076,0.2049,0.2049
P7962,0.9205,0.9205
P2739,0.1247,0.1247
P2991,0.4907,0.4907
P15302,0.7141,0.7141
P23566,0.5082,0.5082
P21829,0.3861,0.3861
P25709,0.4033,0.4033
P29350,0.9778,0.9778
P16731,0.7376,0.7376
P10498,0.1738,0.1738
P3995,0.4703,0.4703
P26143,0.4643,0.4643
P25990,0.8764,0.8764
P8865,0.6772,0.6772
P19244,0.4727,0.4727
P4042,0.7169,0.7169
P22121,0.9984,0.9984
P23788,0.2765,0.2765
P28001,0.5308,0.5308
P12264,0.5327,0.5327
P7457,0.6278,0.6278
P14396,0.4889,0.4889
P11317,0.4363,0.4363
P15799,0.2039,0.2039
P24813,0.6044,0.6044
P13105,0.8055,0.8055
P29342,0.5948,0.5948
P7046,0.7045,0.7045
P8722,0.2699,0.2699
P5833,0.1907,0.1907
P9216,0.1232,0.1232
P25204,0.9808,0.9808
P27073,0.5357,0.5357
P26167,0.8556,0.8556
P11197,0.51,0.51
P18304,0.7742,0.7742
P13228,0.3882,0.3882
P3856,0.6465,0.6465
P3052,0.566,0.566
P20646,0.5139,0.5139
P25732,0.2221,0.2221
P20459,0.761,0.761
P25421,0.4491,0.4491
P10979,0.1317,0.1317
P5142,0.7722,0.7722
P29370,0.6137,0.6137
P15618,0.7587,0.7587
P8202,0.6126,0.6126
P18769,0.407,0.407
P2938,0.1094,0.1094
P17190,0.3113,0.3113
P1878,0.7307,0.7307
P23781,0.7043,0.7043
P23303,0.8775,0.8775
P17110,0.6499,0.6499
P24959,0.3462,0.3462
P13003,0.9555,0.9555
P5141,0.1187,0.1187
P26579,0.6301,0.6301
P20960,0.9464,0.9464
P27058,0.1082,0.1082
P21440,0.7749,0.7749
P1645,0.7306,0.7306
P16990,0.105,0.105
P9842,0.9809,0.9809
P6468,0.8456,0.8456
P12031,0.287,0.287
P12322,0.2546,0.2546
P23775,0.9744,0.9744
P24219,0.141,0.141
P12449,0.9903,0.9903
P15613,0.9011,0.9011
P10305,0.1802,0.1802
P16531,0.7382,0.7382
P21648,0.8999,0.8999
P22672,0.1983,0.1983
P19809,0.7701,0.7701
P17573,0.865,0.865
P17503,0.5122,0.5122
P9121,0.2407,0.2407
P1319,0.9739,0.9739
P16516,0.5233,0.5233
P776,0.457,0.457
P9758,0.6595,0.6595
P9444,0.2821,0.2821
P16696,0.1286,0.1286
P9030,0.3453,0.3453
P15413,0.5618,0.5618
P5636,0.4561,0.4561
P9424,0.5052,0.5052
P14796,0.8508,0.8508
P16537,0.5752,0.5752
P21633,0.1485,0.1485
P4878,0.6543,0.6543
P19975,0.4035,0.4035
P22144,0.3861,0.3861
P25527,0.3129,0.3129
P22503,0.1209,0.1209
P16110,0.3454,0.3454
P2208,0.7603,0.7603
P13640,0.4852,0.4852
P13325,0.218,0.218
P17330,0.2927,0.2927
P3555,0.5894,0.5894
P6083,0.8266,0.8266
P27734,0.4768,0.4768
P24559,0.2323,0.2323
P5938,0.3296,0.3296
P12719,0.7162,0.7162
P12153,0.8475,0.8475
P11789,0.2818,0.2818
P9006,0.5537,0.5537
P15226,0.9548,0.9548
P22228,0.451,0.451
P6004,0.1625,0.1625
P7953,0.4609,0.4609
P29770,0.9052,0.9052
P20464,0.881,0.881
P28279,0.9236,0.9236
P2496,0.2894,0.2894
P11736,0.6159,0.6159
P151,0.1017,0.1017
P17549,0.8183,0.8183
P21747,0.5812,0.5812
P22689,0.9329,0.9329
P29364,0.1458,0.1458
P1244,0.2865,0.2865
P25361,0.4797,0.4797
P27894,0.7338,0.7338
P4949,0.7642,0.7642
P13716,0.4856,0.4856
P695,0.6962,0.6962
P11974,0.1004,0.1004
P21239,0.3152,0.3152
P16043,0.3978,0.3978
P17116,0.3374,0.3374
P19619,0.633,0.633
P12578,0.8561,0.8561
P17009,0.4237,0.4237
P2888,0.1442,0.1442
P8184,0.2383,0.2383
P23080,0.893,0.893
P24386,0.5409,0.5409
P13863,0.6888,0.6888
P24656,0.8458,0.8458
P17411,0.5454,0.5454
P1011,0.5823,0.5823
P27528,0.1248,0.1248
P10556,0.6723,0.6723
P19381,0.2114,0.2114
P22794,0.51,0.51
P22465,0.6113,0.6113
P26642,0.5475,0.5475
P7308,0.8744,0.8744
P18054,0.7202,0.7202
P23736,0.1072,0.1072
P11239,0.7966,0.7966
P197,0.3336,0.3336
P19794,0.7144,0.7144
P16791,0.8372,0.8372
P9986,0.6923,0.6923
P17795,0.697,0.697
P26708,0.5941,0.5941
P2760,0.2684,0.2684
P16846,0.6857,0.6857
P11055,0.6598,0.6598
P23275,0.5624,0.5624
P12909,0.5216,0.5216
P23931,0.391,0.391
P11209,0.1535,0.1535
P10971,0.3333,0.3333
P24089,0.8365,0.8365
P18749,0.3103,0.3103
P5509,0.5133,0.5133
P23904,0.7645,0.7645
P20661,0.4973,0.4973
P12744,0.7743,0.7743
P28556,0.6523,0.6523
P9073,0.4116,0.4116
P23570,0.3482,0.3482
P9793,0.4947,0.4947
P21512,0.7351,0.7351
P15288,0.6271,0.6271
P27273,0.3175,0.3175
P3840,0.941,0.941
P1233,0.733,0.733
P2714,0.7715,0.7715
P19734,0.9992,0.9992
P9440,0.559,0.559
P8665,0.4986,0.4986
P5818,0.8971,0.8971
P20867,0.2874,0.2874
P17924,0.6151,0.6151
P23159,0.2568,0.2568
P14686,0.5083,0.5083
P17969,0.6237,0.6237
P21811,0.9368,0.9368
P13036,0.5585,0.5585
P16547,0.4238,0.4238
P4611,0.4898,0.4898
P12421,0.2451,0.2451
P6341,0.4915,0.4915
P13750,0.2659,0.2659
P1882,0.6022,0.6022
P29696,0.6592,0.6592
P26741,0.1449,0.1449
P1760,0.2421,0.2421
P22063,0.6467,0.6467
P15963,0.643,0.643
P21996,0.238,0.238
P25413,0.9206,0.9206
P27017,0.8178,0.8178
P13179,0.7424,0.7424
P14126,0.123,0.123
P25007,0.5573,0.5573
P26156,0.8595,0.8595
P4919,0.1436,0.1436
P26794,0.1404,0.1404
P6096,0.1374,0.1374
P4526,0.8345,0.8345
P19295,0.6709,0.6709
P28769,0.752,0.752
P22669,0.5227,0.5227
P24597,0.4895,0.4895
P11398,0.6876,0.6876
P25487,0.2218,0.2218
P20499,0.9129,0.9129
P19340,0.7065,0.7065
P20400,0.7033,0.7033
P674,0.8807,0.8807
P7210,0.6976,0.6976
P2325,0.4006,0.4006
P5257,0.8531,0.8531
P903,0.7777,0.7777
P14243,0.5707,0.5707
P9663,0.3827,0.3827
P15869,0.8842,0.8842
P7858,0.8279,0.8279
P27307,0.3666,0.3666
P24791,0.1545,0.1545
P9178,0.6357,0.6357
P27595,0.1527,0.1527
P11714,0.7852,0.7852
P7945,0.9454,0.9454
P6458,0.1733,0.1733
P29041,0.7975,0.7975
P10424,0.6508,0.6508
P13348,0.6395,0.6395
P26195,0.4587,0.4587
P28340,0.4249,0.4249
P21445,0.6945,0.6945
P8809,0.7945,0.7945
P14465,0.9336,0.9336
P22936,0.2713,0.2713
P494,0.1971,0.1971
P12094,0.4226,0.4226
P25183,0.9431,0.9431
P19000,0.5292,0.5292
P5644,0.2609,0.2609
P12797,0.441,0.441
P13176,0.1369,0.1369
P24505,0.3773,0.3773
P23923,0.7195,0.7195
P5222,0.9943,0.9943
P11168,0.1133,0.1133
P3739,0.3303,0.3303
P12335,0.3822,0.3822
P28434,0.5433,0.5433
P11924,0.318,0.318
P24023,0.1365,0.1365
P29374,0.25,0.25
P16424,0.6504,0.6504
P9719,0.3355,0.3355
P16310,0.6301,0.6301
P5236,0.5198,0.5198
P29470,0.6241,0.6241
P25227,0.498,0.498
P9023,0.5056,0.5056
P14876,0.8691,0.8691
P18711,0.8303,0.8303
P1686,0.1936,0.1936
P27119,0.9033,0.9033
P16219,0.5834,0.5834
P29223,0.333,0.333
