partid,cfp,co2
P33,0.8637,0.8637
P8,0.5928,0.5928
P62,0.5591,0.5591
P73,0.4608,0.4608
P85,0.8163,0.8163
P112,0.1911,0.1911
P180,0.8438,0.8438
P117,0.8011,0.8011
P149,0.3354,0.3354
P44,0.1401,0.1401
P20,0.6183,0.6183
P195,0.2264,0.2264
P40,0.9749,0.9749
P187,0.6119,0.6119
P39,0.8389,0.8389
P146,0.6448,0.6448
P151,0.843,0.843
P93,0.877,0.877
P19,0.4518,0.4518
P26,0.3863,0.3863
P162,0.8179,0.8179
P64,0.291,0.291
P188,0.9233,0.9233
P99,0.1456,0.1456
P11,0.204,0.204
P81,0.9098,0.9098
P100,0.9869,0.9869
P177,0.1088,0.1088
P166,0.7129,0.7129
P67,0.9661,0.9661
P2,0.3452,0.3452
P50,0.498,0.498
P182,0.1021,0.1021
P142,0.6652,0.6652
P129,0.2767,0.2767
P125,0.879,0.879
P49,0.6385,0.6385
P53,0.5504,0.5504
P16,0.9735,0.9735
P158,0.3316,0.3316
P169,0.2194,0.2194
P143,0.8605,0.8605
P189,0.8957,0.8957
P157,0.6667,0.6667
P23,0.1059,0.1059
P30,0.5024,0.5024
P82,0.8375,0.8375
P153,0.9584,0.9584
P71,0.8851,0.8851
P141,0.6987,0.6987
P80,0.5982,0.5982
P34,0.7636,0.7636
P165,0.1842,0.1842
P175,0.6757,0.6757
P128,0.1667,0.1667
P9,0.7672,0.7672
P191,0.4151,0.4151
P108,0.4259,0.4259
P79,0.9876,0.9876
P193,0.4581,0.4581
P101,0.3312,0.3312
P43,0.7125,0.7125
P12,0.4336,0.4336
P83,0.1616,0.1616
P197,0.9997,0.9997
P77,0.2919,0.2919
P54,0.6938,0.6938
P107,0.1777,0.1777
P90,0.5726,0.5726
P10,0.6906,0.6906
P86,0.7043,0.7043
P115,0.1871,0.1871
P92,0.1908,0.1908
P68,0.277,0.277
P127,0.8683,0.8683
P167,0.4182,0.4182
P22,0.7049,0.7049
P138,0.9341,0.9341
P160,0.1509,0.1509
P57,0.4056,0.4056
P190,0.3624,0.3624
P51,0.9531,0.9531
P87,0.169,0.169
P183,0.1852,0.1852
P140,0.3561,0.3561
P88,0.95,0.95
P179,0.166,0.166
P18,0.8558,0.8558
P155,0.5612,0.5612
P172,0.6502,0.6502
P154,0.8806,0.8806
P75,0.7809,0.7809
P178,0.113,0.113
P186,0.3301,0.3301
P144,0.1942,0.1942
