partid,cfp,co2
P1871,0.4885,0.4885
P827,0.7413,0.7413
P274,0.423,0.423
P113,0.148,0.148
P1392,0.4742,0.4742
P11,0.9141,0.9141
P1,0.9511,0.9511
P234,0.68,0.68
P423,0.3702,0.3702
P2006,0.9301,0.9301
P2094,0.7692,0.7692
P496,0.2996,0.2996
P1679,0.9526,0.9526
P373,0.4048,0.4048
P776,0.5311,0.5311
P937,0.7448,0.7448
P2005,0.1799,0.1799
P1924,0.6602,0.6602
P160,0.9469,0.9469
P2403,0.5624,0.5624
P1703,0.9165,0.9165
P148,0.2056,0.2056
P2914,0.7148,0.7148
P1250,0.6184,0.6184
P833,0.8296,0.8296
P1237,0.4055,0.4055
P2172,0.7552,0.7552
P2943,0.8105,0.8105
P2517,0.5559,0.5559
P2872,0.668,0.668
P349,0.2131,0.2131
P1095,0.9713,0.9713
P1472,0.8917,0.8917
P1955,0.3026,0.3026
P2613,0.2708,0.2708
P757,0.2243,0.2243
P1418,0.7532,0.7532
P1774,0.6817,0.6817
P1376,0.8494,0.8494
P1206,0.2085,0.2085
P2902,0.4928,0.4928
P69,0.2133,0.2133
P1310,0.2034,0.2034
P605,0.4404,0.4404
P1420,0.8828,0.8828
P1962,0.8693,0.8693
P673,0.4967,0.4967
P2818,0.8542,0.8542
P2554,0.5956,0.5956
P289,0.5591,0.5591
P1411,0.4526,0.4526
P2655,0.3053,0.3053
P322,0.2967,0.2967
P2328,0.8431,0.8431
P418,0.9187,0.9187
P1855,0.5345,0.5345
P2740,0.8032,0.8032
P462,0.2731,0.2731
P1144,0.4576,0.4576
P112,0.1012,0.1012
P1249,0.6838,0.6838
P971,0.2638,0.2638
P1687,0.1548,0.1548
P2963,0.9345,0.9345
P1866,0.594,0.594
P2283,0.8887,0.8887
P530,0.5688,0.5688
P488,0.7402,0.7402
P1816,0.9161,0.9161
P1772,0.7968,0.7968
P1914,0.5987,0.5987
P2320,0.3891,0.3891
P808,0.6575,0.6575
P666,0.2598,0.2598
P1922,0.2064,0.2064
P1789,0.8741,0.8741
P1649,0.1709,0.1709
P1840,0.1293,0.1293
P844,0.2381,0.2381
P1720,0.1178,0.1178
P2795,0.3285,0.3285
P228,0.5901,0.5901
P1573,0.879,0.879
P2926,0.2345,0.2345
P1080,0.2822,0.2822
P951,0.482,0.482
P2281,0.4185,0.4185
P1108,0.1463,0.1463
P1100,0.1898,0.1898
P970,0.8779,0.8779
P1466,0.3332,0.3332
P2909,0.8051,0.8051
P2896,0.619,0.619
P352,0.4029,0.4029
P345,0.3479,0.3479
P2161,0.6794,0.6794
P2550,0.8012,0.8012
P1993,0.3559,0.3559
P1004,0.9005,0.9005
P2563,0.9697,0.9697
P1997,0.8516,0.8516
P1397,0.9706,0.9706
P185,0.6818,0.6818
P1384,0.7325,0.7325
P653,0.6097,0.6097
P1702,0.2142,0.2142
P2512,0.3244,0.3244
P2298,0.5979,0.5979
P138,0.4835,0.4835
P2498,0.8905,0.8905
P2333,0.6953,0.6953
P55,0.3066,0.3066
P2092,0.2989,0.2989
P2598,0.6515,0.6515
P2990,0.1389,0.1389
P869,0.5413,0.5413
P476,0.4926,0.4926
P1873,0.8811,0.8811
P2548,0.6122,0.6122
P744,0.4599,0.4599
P2591,0.7789,0.7789
P741,0.8137,0.8137
P1965,0.2321,0.2321
P2102,0.9125,0.9125
P1202,0.9155,0.9155
P1200,0.4234,0.4234
P2961,0.598,0.598
P1119,0.436,0.436
P2448,0.4069,0.4069
P394,0.5609,0.5609
P1451,0.5476,0.5476
P2878,0.6219,0.6219
P384,0.4565,0.4565
P1070,0.9523,0.9523
P1295,0.7481,0.7481
P2402,0.8293,0.8293
P2228,0.2092,0.2092
P1978,0.5102,0.5102
P621,0.9662,0.9662
P2338,0.9602,0.9602
P142,0.3081,0.3081
P669,0.7331,0.7331
