partid,cfp,co2
P483,0.4654,0.4654
P2965,0.5235,0.5235
P254,0.2379,0.2379
P1952,0.2539,0.2539
P157,0.9743,0.9743
P2793,0.2262,0.2262
P967,0.8848,0.8848
P2846,0.2191,0.2191
P504,0.5834,0.5834
P2017,0.8105,0.8105
P1612,0.1524,0.1524
P1911,0.9119,0.9119
P2779,0.8604,0.8604
P762,0.3674,0.3674
P2214,0.2579,0.2579
P2820,0.921,0.921
P807,0.1025,0.1025
P245,0.1107,0.1107
P53,0.8631,0.8631
P1831,0.1179,0.1179
P342,0.2859,0.2859
P463,0.9253,0.9253
P558,0.2446,0.2446
P2822,0.1394,0.1394
P486,0.3326,0.3326
P2386,0.8844,0.8844
P195,0.8127,0.8127
P765,0.4377,0.4377
P1793,0.2478,0.2478
P1017,0.5665,0.5665
P2841,0.5278,0.5278
P1489,0.6094,0.6094
P1442,0.2317,0.2317
P2606,0.4958,0.4958
P2366,0.9552,0.9552
P261,0.2914,0.2914
P1887,0.9811,0.9811
P2731,0.7185,0.7185
P1032,0.3317,0.3317
P2813,0.331,0.331
P1111,0.8164,0.8164
P1836,0.2046,0.2046
P2068,0.2278,0.2278
P175,0.4477,0.4477
P1602,0.6632,0.6632
P1758,0.819,0.819
P642,0.4861,0.4861
P1598,0.6382,0.6382
P2600,0.2257,0.2257
P2989,0.8813,0.8813
P1253,0.1875,0.1875
P1994,0.4871,0.4871
P2812,0.166,0.166
P1029,0.1201,0.1201
P1358,0.8154,0.8154
P2040,0.863,0.863
P1700,0.4436,0.4436
P155,0.9943,0.9943
P1429,0.773,0.773
P313,0.1587,0.1587
P1982,0.5806,0.5806
P1931,0.6095,0.6095
P2050,0.6213,0.6213
P905,0.6713,0.6713
P1605,0.6529,0.6529
P2253,0.8722,0.8722
P2987,0.8647,0.8647
P856,0.8509,0.8509
P655,0.4421,0.4421
P2760,0.6445,0.6445
P1228,0.8391,0.8391
P2735,0.3289,0.3289
P758,0.5228,0.5228
P2300,0.9154,0.9154
P2312,0.8114,0.8114
P2337,0.8826,0.8826
P513,0.314,0.314
P1129,0.1898,0.1898
P622,0.6055,0.6055
P1473,0.4491,0.4491
P424,0.7773,0.7773
P132,0.4436,0.4436
P1332,0.5873,0.5873
P1023,0.6177,0.6177
P2877,0.6747,0.6747
P866,0.9901,0.9901
P298,0.3733,0.3733
P44,0.1095,0.1095
P1889,0.8446,0.8446
P1153,0.2342,0.2342
P2411,0.9744,0.9744
P2638,0.59,0.59
P117,0.6849,0.6849
P2876,0.76,0.76
P2879,0.1324,0.1324
P2539,0.7049,0.7049
P1786,0.8523,0.8523
P118,0.8636,0.8636
P2389,0.9777,0.9777
P1016,0.7861,0.7861
P198,0.2386,0.2386
P1869,0.8606,0.8606
P2209,0.532,0.532
P1040,0.5176,0.5176
P425,0.7632,0.7632
P581,0.2115,0.2115
P1629,0.5795,0.5795
P2032,0.9541,0.9541
P2123,0.2313,0.2313
P1038,0.5748,0.5748
P2108,0.1214,0.1214
P2246,0.686,0.686
P2764,0.8119,0.8119
P128,0.82,0.82
P1204,0.2587,0.2587
P777,0.4667,0.4667
P1682,0.7829,0.7829
P572,0.876,0.876
P2810,0.3044,0.3044
P2127,0.1321,0.1321
P1908,0.8387,0.8387
P2345,0.5453,0.5453
P1260,0.1209,0.1209
P520,0.3272,0.3272
P650,0.4695,0.4695
P1333,0.9516,0.9516
P1424,0.718,0.718
P417,0.6437,0.6437
P2669,0.3854,0.3854
P893,0.9021,0.9021
P1449,0.7036,0.7036
P593,0.2316,0.2316
P1864,0.3198,0.3198
P1066,0.6994,0.6994
P828,0.215,0.215
P1498,0.697,0.697
P2016,0.9219,0.9219
P2847,0.5603,0.5603
P2454,0.8139,0.8139
P548,0.2368,0.2368
P170,0.9673,0.9673
P168,0.2382,0.2382
P1460,0.5946,0.5946
