partid,cfp,co2
P68,0.1346,0.1346
P127,0.5751,0.5751
P145,0.3055,0.3055
P157,0.6951,0.6951
P143,0.6098,0.6098
P88,0.9228,0.9228
P138,0.5642,0.5642
P26,0.8486,0.8486
P262,0.3324,0.3324
P251,0.2152,0.2152
P147,0.5798,0.5798
P203,0.7185,0.7185
P204,0.4585,0.4585
P226,0.1237,0.1237
P55,0.9163,0.9163
P256,0.6326,0.6326
P187,0.1227,0.1227
P17,0.8881,0.8881
P283,0.5031,0.5031
P192,0.7008,0.7008
P74,0.1543,0.1543
P164,0.1413,0.1413
P293,0.8932,0.8932
P158,0.3156,0.3156
P32,0.1066,0.1066
P13,0.928,0.928
P123,0.1122,0.1122
P66,0.9448,0.9448
P6,0.8114,0.8114
P144,0.152,0.152
P132,0.3987,0.3987
P54,0.3621,0.3621
P254,0.5337,0.5337
P170,0.9441,0.9441
P285,0.6294,0.6294
P94,0.8231,0.8231
P214,0.9946,0.9946
P225,0.4069,0.4069
P86,0.4155,0.4155
P146,0.8129,0.8129
P216,0.2055,0.2055
P119,0.4121,0.4121
P154,0.421,0.421
P247,0.2967,0.2967
P268,0.6621,0.6621
P109,0.7569,0.7569
P171,0.6964,0.6964
P93,0.9291,0.9291
P168,0.1044,0.1044
P200,0.2063,0.2063
P240,0.2366,0.2366
P121,0.8922,0.8922
P253,0.9864,0.9864
P291,0.4665,0.4665
P195,0.344,0.344
P129,0.2235,0.2235
P101,0.7033,0.7033
P126,0.872,0.872
P14,0.1358,0.1358
P112,0.418,0.418
P220,0.9297,0.9297
P46,0.6664,0.6664
P207,0.5081,0.5081
P198,0.5785,0.5785
P189,0.5442,0.5442
P221,0.8327,0.8327
P71,0.636,0.636
P139,0.2303,0.2303
P23,0.1115,0.1115
P182,0.9235,0.9235
P150,0.5371,0.5371
P188,0.3135,0.3135
P227,0.207,0.207
P201,0.829,0.829
P110,0.7825,0.7825
P136,0.4917,0.4917
P193,0.8477,0.8477
P9,0.2659,0.2659
P173,0.2808,0.2808
P61,0.2664,0.2664
P272,0.6739,0.6739
P8,0.1885,0.1885
P244,0.8619,0.8619
P102,0.7422,0.7422
P131,0.5407,0.5407
P22,0.2963,0.2963
P299,0.8192,0.8192
P77,0.2094,0.2094
P116,0.6315,0.6315
P223,0.2068,0.2068
P282,0.2575,0.2575
P258,0.8104,0.8104
P21,0.372,0.372
P48,0.8491,0.8491
P11,0.4886,0.4886
P184,0.3797,0.3797
P165,0.7318,0.7318
P185,0.6988,0.6988
P24,0.9822,0.9822
P63,0.1701,0.1701
P78,0.3796,0.3796
P153,0.2177,0.2177
P1,0.5656,0.5656
P217,0.9656,0.9656
P111,0.9732,0.9732
P76,0.4656,0.4656
P135,0.4001,0.4001
P206,0.2991,0.2991
P222,0.807,0.807
P44,0.6681,0.6681
P156,0.5685,0.5685
P174,0.479,0.479
P246,0.3909,0.3909
P10,0.2408,0.2408
P210,0.7348,0.7348
P278,0.1503,0.1503
P51,0.8156,0.8156
P202,0.6178,0.6178
P290,0.4163,0.4163
P166,0.204,0.204
P27,0.3599,0.3599
P53,0.6315,0.6315
P115,0.4047,0.4047
P79,0.6344,0.6344
P15,0.3737,0.3737
P215,0.2405,0.2405
P56,0.8932,0.8932
P87,0.4111,0.4111
P41,0.8702,0.8702
P229,0.803,0.803
