partid,cfp,co2
P15328,0.7273,0.7273
P2256,0.9703,0.9703
P11818,0.5095,0.5095
P7121,0.3664,0.3664
P3579,0.488,0.488
P4428,0.3273,0.3273
P19601,0.2146,0.2146
P14597,0.6416,0.6416
P20058,0.7181,0.7181
P22510,0.8544,0.8544
P14716,0.5636,0.5636
P6428,0.4921,0.4921
P19773,0.3021,0.3021
P210,0.4775,0.4775
P8796,0.7257,0.7257
P22403,0.4452,0.4452
P5375,0.129,0.129
P20283,0.9288,0.9288
P5520,0.2124,0.2124
P10775,0.4161,0.4161
P20145,0.313,0.313
P12223,0.9729,0.9729
P16316,0.4791,0.4791
P4198,0.3001,0.3001
P17862,0.7717,0.7717
P4337,0.5914,0.5914
P7882,0.1114,0.1114
P11963,0.4876,0.4876
P13144,0.1951,0.1951
P4565,0.7998,0.7998
P18080,0.2132,0.2132
P6098,0.7071,0.7071
P9014,0.1112,0.1112
P15920,0.558,0.558
P4260,0.6457,0.6457
P4117,0.9363,0.9363
P1848,0.8611,0.8611
P114,0.6764,0.6764
P12033,0.7457,0.7457
P11969,0.8819,0.8819
P9265,0.5584,0.5584
P22256,0.7081,0.7081
P1479,0.8766,0.8766
P15495,0.25,0.25
P21079,0.9697,0.9697
P5948,0.2734,0.2734
P20872,0.3893,0.3893
P11561,0.6832,0.6832
P12658,0.8261,0.8261
P8338,0.3275,0.3275
P9397,0.7158,0.7158
P6760,0.3338,0.3338
P12237,0.7074,0.7074
P22897,0.6692,0.6692
P6663,0.8216,0.8216
P13430,0.9389,0.9389
P13349,0.3729,0.3729
P8851,0.5292,0.5292
P15843,0.3524,0.3524
P8318,0.8371,0.8371
P11890,0.4235,0.4235
P19956,0.4826,0.4826
P5858,0.9066,0.9066
P7141,0.4042,0.4042
P5854,0.6391,0.6391
P11319,0.2929,0.2929
P4286,0.9269,0.9269
P12721,0.9563,0.9563
P19236,0.1539,0.1539
P21702,0.1872,0.1872
P7232,0.6013,0.6013
P18447,0.6515,0.6515
P15259,0.9928,0.9928
P13420,0.5527,0.5527
P9413,0.581,0.581
P17046,0.3526,0.3526
P11420,0.865,0.865
P9815,0.1357,0.1357
P492,0.6735,0.6735
P17217,0.1279,0.1279
P17608,0.2019,0.2019
P1372,0.8265,0.8265
P12847,0.6872,0.6872
P11261,0.1622,0.1622
P3587,0.9147,0.9147
P14590,0.3471,0.3471
P7783,0.2098,0.2098
P14854,0.1647,0.1647
P12468,0.4099,0.4099
P15711,0.201,0.201
P18927,0.9791,0.9791
P21432,0.7037,0.7037
P8572,0.8459,0.8459
P7724,0.4111,0.4111
P14850,0.5693,0.5693
P7521,0.8473,0.8473
P13720,0.2002,0.2002
P15052,0.2687,0.2687
P22501,0.9414,0.9414
P19655,0.4784,0.4784
P16019,0.2296,0.2296
P11108,0.5134,0.5134
P3291,0.9312,0.9312
P1174,0.8845,0.8845
P238,0.8267,0.8267
P7872,0.9248,0.9248
P14323,0.5653,0.5653
P926,0.7371,0.7371
P18409,0.9163,0.9163
P18327,0.1254,0.1254
P12112,0.6342,0.6342
P12464,0.1921,0.1921
P19528,0.386,0.386
P9097,0.1779,0.1779
P18353,0.6206,0.6206
P12071,0.545,0.545
P14365,0.9154,0.9154
P12669,0.6757,0.6757
P2198,0.2391,0.2391
P2089,0.1487,0.1487
P10825,0.3716,0.3716
P1455,0.4167,0.4167
P14443,0.2618,0.2618
P12929,0.5884,0.5884
P10000,0.468,0.468
P10606,0.9231,0.9231
P7111,0.2055,0.2055
P10495,0.7214,0.7214
P19078,0.8698,0.8698
P13636,0.7596,0.7596
P19088,0.9189,0.9189
P6307,0.3658,0.3658
P21813,0.3364,0.3364
P6498,0.4428,0.4428
P1405,0.8831,0.8831
P4120,0.9612,0.9612
P2819,0.3624,0.3624
P796,0.1684,0.1684
P2450,0.6994,0.6994
P12902,0.8114,0.8114
P9917,0.7727,0.7727
P13641,0.5813,0.5813
P19195,0.1045,0.1045
P7426,0.977,0.977
P15922,0.3556,0.3556
P7378,0.7935,0.7935
P14794,0.8088,0.8088
P15232,0.2002,0.2002
P9992,0.1438,0.1438
P8128,0.8016,0.8016
P1659,0.9342,0.9342
P17978,0.6931,0.6931
P3175,0.3364,0.3364
P426,0.148,0.148
P7087,0.7018,0.7018
P8651,0.6512,0.6512
P573,0.6681,0.6681
P17311,0.171,0.171
P21092,0.6603,0.6603
P1402,0.5625,0.5625
P20691,0.227,0.227
P19759,0.9935,0.9935
P10488,0.8,0.8
P15062,0.3426,0.3426
P19124,0.7793,0.7793
P12566,0.3754,0.3754
P1666,0.1095,0.1095
P10128,0.6276,0.6276
P20725,0.4685,0.4685
P21764,0.8457,0.8457
P13081,0.7263,0.7263
P11225,0.3005,0.3005
P19965,0.7848,0.7848
P17479,0.9374,0.9374
P6677,0.817,0.817
P14181,0.99,0.99
P11431,0.8536,0.8536
P10558,0.9495,0.9495
P22265,0.512,0.512
P6252,0.1249,0.1249
P4297,0.737,0.737
P20420,0.5891,0.5891
P11605,0.9748,0.9748
P17388,0.9259,0.9259
P2593,0.8124,0.8124
P2597,0.4957,0.4957
P9843,0.8943,0.8943
P9931,0.729,0.729
P14932,0.4499,0.4499
P20580,0.2072,0.2072
P18903,0.9897,0.9897
P11687,0.4636,0.4636
P19940,0.3107,0.3107
P10693,0.6981,0.6981
P11878,0.4921,0.4921
P20852,0.5889,0.5889
P1283,0.8131,0.8131
P2741,0.6512,0.6512
P9937,0.2379,0.2379
P7653,0.6295,0.6295
P8361,0.6248,0.6248
P10072,0.8673,0.8673
P2073,0.2376,0.2376
P14386,0.5215,0.5215
P13093,0.5011,0.5011
P207,0.9132,0.9132
P17374,0.5078,0.5078
P2057,0.5907,0.5907
P1015,0.5552,0.5552
P843,0.3076,0.3076
P2854,0.7616,0.7616
P6481,0.9189,0.9189
P9678,0.7009,0.7009
P7429,0.8867,0.8867
P17356,0.7842,0.7842
P8842,0.6815,0.6815
P22005,0.6239,0.6239
P21314,0.3147,0.3147
P8348,0.629,0.629
P9792,0.4859,0.4859
P15113,0.406,0.406
P9285,0.9117,0.9117
P14032,0.2668,0.2668
P4655,0.8489,0.8489
P14389,0.7202,0.7202
P8356,0.9812,0.9812
P17760,0.584,0.584
P667,0.7445,0.7445
P20089,0.1499,0.1499
P21283,0.913,0.913
P15724,0.2735,0.2735
P15290,0.2111,0.2111
P19926,0.8992,0.8992
P15873,0.1316,0.1316
P18210,0.505,0.505
P22425,0.9957,0.9957
P255,0.485,0.485
P12822,0.4585,0.4585
P1000,0.6727,0.6727
P18048,0.877,0.877
P2164,0.197,0.197
P10734,0.5179,0.5179
P11306,0.3735,0.3735
P21886,0.541,0.541
P19425,0.2559,0.2559
P1928,0.5892,0.5892
P6439,0.3931,0.3931
P121,0.9777,0.9777
P13040,0.2418,0.2418
P21968,0.5239,0.5239
P10652,0.7801,0.7801
P11372,0.6173,0.6173
P12184,0.2762,0.2762
P22879,0.4595,0.4595
P15498,0.6533,0.6533
P18158,0.1865,0.1865
P17051,0.1682,0.1682
P17874,0.2558,0.2558
P21777,0.1984,0.1984
P21013,0.2387,0.2387
P4007,0.9992,0.9992
P13065,0.722,0.722
P1886,0.3204,0.3204
P17980,0.6498,0.6498
P5790,0.3705,0.3705
P11016,0.81,0.81
P9841,0.703,0.703
P13037,0.2752,0.2752
P11817,0.9909,0.9909
P18877,0.444,0.444
P13119,0.718,0.718
P10154,0.303,0.303
P3083,0.1388,0.1388
P8680,0.5143,0.5143
P20178,0.1014,0.1014
P8743,0.7214,0.7214
P17239,0.9001,0.9001
P20073,0.6561,0.6561
P1476,0.3369,0.3369
P7293,0.1266,0.1266
P22406,0.2236,0.2236
P932,0.8494,0.8494
P16783,0.8007,0.8007
P8996,0.7342,0.7342
P19748,0.4903,0.4903
P401,0.9741,0.9741
P13161,0.7331,0.7331
P12076,0.8133,0.8133
P17785,0.7575,0.7575
P8624,0.5114,0.5114
P17377,0.6076,0.6076
P20867,0.7062,0.7062
P13185,0.5011,0.5011
P9484,0.9195,0.9195
P2893,0.4996,0.4996
P22050,0.5085,0.5085
P22073,0.1215,0.1215
P1907,0.6804,0.6804
P2495,0.8982,0.8982
P20167,0.1453,0.1453
P7049,0.5175,0.5175
P8165,0.7852,0.7852
P16979,0.5867,0.5867
P8580,0.7043,0.7043
P18031,0.6155,0.6155
P16330,0.3714,0.3714
P14761,0.3539,0.3539
P8969,0.3378,0.3378
P11702,0.9481,0.9481
P4822,0.5273,0.5273
P20317,0.8938,0.8938
P18578,0.7856,0.7856
P19073,0.505,0.505
P16574,0.7418,0.7418
P21043,0.4294,0.4294
P11424,0.4106,0.4106
P17793,0.4847,0.4847
P6919,0.3728,0.3728
P3300,0.1535,0.1535
P20777,0.5766,0.5766
P14632,0.2729,0.2729
P1493,0.557,0.557
P18651,0.4944,0.4944
P256,0.7934,0.7934
P4184,0.6507,0.6507
P16633,0.4819,0.4819
P623,0.9499,0.9499
P14479,0.5625,0.5625
P9498,0.7617,0.7617
P8626,0.5827,0.5827
P2620,0.3633,0.3633
P20217,0.5205,0.5205
P8604,0.9651,0.9651
P3285,0.5527,0.5527
P17471,0.1222,0.1222
P11944,0.7032,0.7032
P19797,0.1017,0.1017
P17053,0.6908,0.6908
P5998,0.8931,0.8931
P17948,0.2075,0.2075
P7327,0.2479,0.2479
P218,0.4419,0.4419
P11562,0.2438,0.2438
P19257,0.797,0.797
P19836,0.5798,0.5798
P6295,0.4638,0.4638
P20194,0.9493,0.9493
P9059,0.1089,0.1089
P22015,0.6397,0.6397
P15193,0.5919,0.5919
P10279,0.4868,0.4868
P12154,0.5646,0.5646
P4475,0.8794,0.8794
P9228,0.2727,0.2727
P2927,0.4792,0.4792
P12457,0.8334,0.8334
P16878,0.6923,0.6923
P14100,0.7008,0.7008
P20588,0.7335,0.7335
P8569,0.7831,0.7831
P4489,0.4113,0.4113
P9694,0.5779,0.5779
P5736,0.2778,0.2778
P4023,0.6008,0.6008
P3721,0.1536,0.1536
P22621,0.4115,0.4115
P2648,0.1387,0.1387
P22179,0.8242,0.8242
P15248,0.5884,0.5884
P21441,0.5079,0.5079
P18189,0.2187,0.2187
P13924,0.9724,0.9724
P4589,0.6777,0.6777
P10538,0.759,0.759
P14004,0.7068,0.7068
P3136,0.4113,0.4113
P11476,0.52,0.52
P273,0.7371,0.7371
P20012,0.854,0.854
P15025,0.5316,0.5316
P18635,0.3116,0.3116
P20438,0.5749,0.5749
P21682,0.9885,0.9885
P248,0.3312,0.3312
P16346,0.9165,0.9165
P2196,0.434,0.434
P1037,0.3958,0.3958
P14642,0.5936,0.5936
P19506,0.534,0.534
P4031,0.5486,0.5486
P5769,0.5364,0.5364
P19784,0.4557,0.4557
P2259,0.7938,0.7938
P3487,0.5598,0.5598
P9277,0.1281,0.1281
P3004,0.6104,0.6104
