partid,cfp,co2
P8610,0.3761,0.3761
P1810,0.6701,0.6701
P12845,0.8004,0.8004
P19164,0.2778,0.2778
P22154,0.1092,0.1092
P3512,0.8173,0.8173
P513,0.4626,0.4626
P8311,0.1276,0.1276
P9404,0.8279,0.8279
P9892,0.8066,0.8066
P13242,0.3782,0.3782
P13782,0.4328,0.4328
P9537,0.8713,0.8713
P4473,0.4657,0.4657
P20131,0.2679,0.2679
P9964,0.4851,0.4851
P5802,0.746,0.746
P2033,0.773,0.773
P15461,0.2633,0.2633
P7404,0.5894,0.5894
P11616,0.8496,0.8496
P8124,0.4155,0.4155
P2703,0.6123,0.6123
P20783,0.682,0.682
P20535,0.3113,0.3113
P18821,0.4545,0.4545
P10112,0.8304,0.8304
P231,0.8362,0.8362
P2206,0.8629,0.8629
P20779,0.929,0.929
P17321,0.1565,0.1565
P14318,0.9196,0.9196
P18317,0.6973,0.6973
P6758,0.1086,0.1086
P3205,0.5657,0.5657
P17598,0.7827,0.7827
P21708,0.9362,0.9362
P18765,0.7285,0.7285
P16261,0.9255,0.9255
P2905,0.8896,0.8896
P8516,0.4659,0.4659
P9052,0.3751,0.3751
P12551,0.3757,0.3757
P14824,0.5534,0.5534
P773,0.3574,0.3574
P22840,0.6744,0.6744
P16747,0.4672,0.4672
P19414,0.9862,0.9862
P7570,0.8471,0.8471
P12881,0.3427,0.3427
P1880,0.276,0.276
P14845,0.8116,0.8116
P4666,0.8979,0.8979
P7979,0.9449,0.9449
P10248,0.5086,0.5086
P14403,0.4323,0.4323
P11808,0.7735,0.7735
P10718,0.7374,0.7374
P22861,0.2246,0.2246
P16587,0.6886,0.6886
P6076,0.8695,0.8695
P4325,0.5498,0.5498
P14199,0.7526,0.7526
P7696,0.5462,0.5462
P3337,0.7653,0.7653
P16860,0.6942,0.6942
P14964,0.3958,0.3958
P14367,0.7241,0.7241
P2875,0.503,0.503
P5078,0.3654,0.3654
P9827,0.8442,0.8442
P9998,0.9562,0.9562
P21357,0.3742,0.3742
P21226,0.7059,0.7059
P19234,0.9838,0.9838
P17493,0.8454,0.8454
P1515,0.8197,0.8197
P17690,0.2163,0.2163
P18471,0.7199,0.7199
P13925,0.8326,0.8326
P21138,0.2242,0.2242
P7058,0.2508,0.2508
P13460,0.4113,0.4113
P14174,0.3773,0.3773
P20694,0.8735,0.8735
P15628,0.4856,0.4856
P4137,0.5426,0.5426
P2147,0.6705,0.6705
P20550,0.6668,0.6668
P22713,0.5558,0.5558
P7754,0.1268,0.1268
P5240,0.4971,0.4971
P22512,0.5637,0.5637
P1665,0.1362,0.1362
P2869,0.5235,0.5235
P8830,0.8805,0.8805
P616,0.1766,0.1766
P1851,0.3997,0.3997
P11643,0.7302,0.7302
P12599,0.1276,0.1276
P4509,0.4491,0.4491
P18463,0.2169,0.2169
P22600,0.1124,0.1124
P22117,0.9128,0.9128
P1927,0.2326,0.2326
P10064,0.9193,0.9193
P8186,0.6189,0.6189
P15278,0.9743,0.9743
P17119,0.6965,0.6965
P13599,0.8895,0.8895
P7672,0.3712,0.3712
